cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
20,train,0,0,True,True,0.127364,0.134032,-0.00666722,0.14521,0.152932,0.00759891,0.00751775,0.127357,0.134024,False,0.08715425,0.054318,0.19237,0.0449749,0.0926098,0.0446048,0.0645207,0.114259,0.0895768,0.339032,0.339004,0.878069,0.928472,0.000145512,-0.00667759,-1.03691e-05,0.0254491,4.90575e-05,0.0254491,0.000489099
21,train,1,1,True,True,0.135541,0.127927,0.00761453,0.1521,0.162454,0.0144595,0.0144117,0.12792,0.135534,True,0.067207285,0.0573887,0.125113,-3.02065e-26,0.183779,0.00737648,0.0746509,0.0402285,0.0491217,0.33763,0.337268,0.876259,0.931238,0.000529705,0.00796938,0.000354847,0.0201729,4.24402e-05,0.0201729,0.000485468
22,train,2,1,True,True,0.136372,0.129783,0.00658928,0.145023,0.152681,0.00989145,0.00917393,0.129776,0.136365,True,0.09267395,0.0982269,0.0625805,0.146246,0.0362912,0.081464,0.081103,0.118078,0.117402,0.342551,0.342448,0.879894,0.9259,0.000123051,0.00671211,0.000122836,0.00531346,4.8382e-05,0.00531346,0.000501309
23,train,3,0,True,True,0.129214,0.135707,-0.00649288,0.146985,0.154032,0.00745481,0.00738378,0.129207,0.135699,False,0.08778713750000001,0.181001,0.0558712,0.0922639,0.0922967,0.0516281,0.109794,0.0713683,0.0480739,0.339388,0.339391,0.879753,0.926078,0.000210129,-0.00634278,0.000150102,0.0201599,4.20098e-05,0.0201599,0.000488848
24,train,0,0,True,True,0.127151,0.133721,-0.00657006,0.145692,0.15311,0.00754926,0.00749837,0.127144,0.133713,False,0.08631492499999999,0.0531969,0.191778,0.0438607,0.0909736,0.0438437,0.0633865,0.115056,0.088424,0.338931,0.338931,0.878147,0.928342,0.000144246,-0.00656097,9.08238e-06,0.0250616,4.88454e-05,0.0250616,0.000490823
25,train,1,1,True,True,0.135496,0.127734,0.0077625,0.152515,0.163127,0.0279982,0.0280273,0.127727,0.135489,True,0.06627277875000001,0.0560702,0.124023,-2.93988e-26,0.183094,0.00661423,0.073087,0.0394357,0.0478581,0.338598,0.338109,0.875779,0.931973,0.000771188,0.00815215,0.000389643,0.0198192,4.24043e-05,0.0198192,0.000485689
26,train,2,1,True,True,0.136044,0.129362,0.00668207,0.145577,0.153206,0.0112302,0.0110963,0.129354,0.136036,True,0.09174567499999998,0.0974495,0.0611488,0.14525,0.0349908,0.0808835,0.0803738,0.117316,0.116553,0.340982,0.340979,0.879403,0.92659,0.000175902,0.00659838,-8.36967e-05,0.00498037,4.83351e-05,0.00498037,0.000499076
27,train,3,0,True,True,0.129705,0.136046,-0.00634157,0.147351,0.154094,0.00734819,0.00730495,0.129697,0.136039,False,0.0870075875,0.18159,0.0544938,0.0912613,0.0911748,0.050901,0.109229,0.0705762,0.0468346,0.339261,0.339289,0.880433,0.925133,0.000312832,-0.00633286,8.71284e-06,0.0204652,4.19416e-05,0.0204652,0.000489154
28,train,0,0,True,True,0.126938,0.133399,-0.00646082,0.146189,0.153274,0.00751119,0.00749351,0.126931,0.133392,False,0.08547022500000001,0.0520627,0.191137,0.0427243,0.0893324,0.043084,0.0622515,0.115919,0.0872509,0.338831,0.338862,0.878262,0.928161,0.000253437,-0.00642954,3.12781e-05,0.0246511,4.88559e-05,0.0246511,0.000491045
29,train,1,1,True,True,0.135482,0.127551,0.00793004,0.15293,0.163815,0.00802361,0.00764947,0.127544,0.135474,True,0.0653296575,0.0547244,0.122922,-2.85778e-26,0.182392,0.00585046,0.0715166,0.0386424,0.0465894,0.338038,0.337838,0.875254,0.932793,0.00119343,0.00835872,0.000428684,0.0194565,4.24065e-05,0.0194565,0.000486344
30,train,2,1,True,True,0.135913,0.129225,0.00668801,0.146148,0.153746,0.0111012,0.0109584,0.129218,0.135905,True,0.09079727500000001,0.0966182,0.0596964,0.144229,0.0336961,0.0803055,0.079648,0.116517,0.115668,0.34089,0.340892,0.879299,0.926734,0.000246515,0.00660079,-8.72189e-05,0.00465002,4.82693e-05,0.00465002,0.000494574
31,train,3,0,True,True,0.129386,0.13564,-0.0062542,0.147767,0.154173,0.00725121,0.00723989,0.129379,0.135633,False,0.0862078375,0.1821,0.0531137,0.0902289,0.0900487,0.0501675,0.108647,0.0697727,0.0455842,0.339135,0.33919,0.880441,0.925108,0.000451657,-0.00622666,2.75378e-05,0.0206174,4.20016e-05,0.0206174,0.000489731
32,train,0,0,True,True,0.126767,0.133106,-0.00633872,0.146705,0.153426,0.00748105,0.00749961,0.12676,0.133099,False,0.0846179,0.0509117,0.190447,0.0415638,0.0876906,0.0423257,0.0611139,0.116834,0.0860565,0.338731,0.338794,0.878437,0.927892,0.000413687,-0.00628314,5.55802e-05,0.0242322,4.87778e-05,0.0242322,0.000492594
33,train,1,1,True,True,0.135499,0.127378,0.00812103,0.153343,0.164518,0.00820126,0.00779587,0.127371,0.135491,True,0.06437924375,0.0533562,0.121811,-2.77422e-26,0.181676,0.00508545,0.0699427,0.0378477,0.0453149,0.337992,0.337774,0.874681,0.933707,0.00210831,0.00859246,0.000471434,0.0190889,4.23866e-05,0.0190889,0.000487009
34,train,2,1,True,True,0.135799,0.129106,0.00669319,0.146736,0.1543,0.0109664,0.0108138,0.129099,0.135792,True,0.0898295625,0.0957331,0.0582237,0.143184,0.0324089,0.0797301,0.0789267,0.115684,0.114746,0.340795,0.340803,0.879205,0.926859,0.000344638,0.00670021,7.01498e-06,0.00433089,4.83017e-05,0.00433089,0.000496321
35,train,3,0,True,True,0.129093,0.135248,-0.00615549,0.148237,0.154273,0.00716496,0.00718978,0.129086,0.135241,False,0.08538696250000001,0.182522,0.0517307,0.0891663,0.0889226,0.0494276,0.108047,0.068957,0.0443225,0.339009,0.339093,0.880496,0.92502,0.0014689,-0.0060603,9.51974e-05,0.0207445,4.20227e-05,0.0207445,0.00049145
