experiment,vin,wgate,second_input,second_wgate,forced_vpre,vact,vpre_m,eact,vpre,vw0,vw1,epre
single_synapse_relu,0.0,0.7,0.0,0.2,,-1.1377e-266,,0.0,0.0,0.7,0.2,0.0
single_synapse_relu,0.05,0.7,0.0,0.2,,-1.1377e-266,,0.0,0.0425961,0.7,0.2,9.07216e-18
single_synapse_relu,0.1,0.7,0.0,0.2,,-1.1377e-266,,0.0,0.0830516,0.7,0.2,3.44879e-17
single_synapse_relu,0.2,0.7,0.0,0.2,,-1.1377e-266,,0.0,0.152381,0.7,0.2,1.161e-16
single_synapse_relu,0.4,0.7,0.0,0.2,,-1.1377e-266,,0.0,0.19231,0.7,0.2,1.84916e-16
single_synapse_relu,0.8,0.7,0.0,0.2,,-1.25882e-266,,0.0,0.192871,0.7,0.2,1.85996e-16
single_synapse_relu,1.0,0.7,0.0,0.2,,-1.2693e-266,,0.0,0.193148,0.7,0.2,1.8653e-16
single_synapse_relu,0.0,0.9,0.0,0.2,,-1.1377e-266,,0.0,0.0,0.9,0.2,0.0
single_synapse_relu,0.05,0.9,0.0,0.2,,-1.1377e-266,,0.0,0.0452796,0.9,0.2,1.02512e-17
single_synapse_relu,0.1,0.9,0.0,0.2,,-1.1377e-266,,0.0,0.0897969,0.9,0.2,4.03175e-17
single_synapse_relu,0.2,0.9,0.0,0.2,,-1.1377e-266,,0.0,0.175392,0.9,0.2,1.53811e-16
single_synapse_relu,0.4,0.9,0.0,0.2,,-1.1377e-266,,0.0,0.313116,0.9,0.2,4.90207e-16
single_synapse_relu,0.8,0.9,0.0,0.2,,-1.20173e-242,,0.0,0.341015,0.9,0.2,5.81455e-16
single_synapse_relu,1.0,0.9,0.0,0.2,,-1.86723e-244,,0.0,0.341402,0.9,0.2,5.82775e-16
single_synapse_relu,0.0,1.1,0.0,0.2,,-2.17685e-278,,0.0,0.0,1.1,0.2,0.0
single_synapse_relu,0.05,1.1,0.0,0.2,,-2.17685e-278,,0.0,0.0465396,1.1,0.2,1.08297e-17
single_synapse_relu,0.1,1.1,0.0,0.2,,-2.17685e-278,,0.0,0.0927279,1.1,0.2,4.29923e-17
single_synapse_relu,0.2,1.1,0.0,0.2,,-2.17685e-278,,0.0,0.183681,1.1,0.2,1.68694e-16
single_synapse_relu,0.4,1.1,0.0,0.2,,0.000102077,,1.04197e-22,0.354691,1.1,0.2,6.29028e-16
single_synapse_relu,0.8,1.1,0.0,0.2,,0.0474054,,2.24727e-17,0.500769,1.1,0.2,1.25385e-15
single_synapse_relu,1.0,1.1,0.0,0.2,,0.0476286,,2.26848e-17,0.501243,1.1,0.2,1.25622e-15
single_synapse_relu,0.0,1.2,0.0,0.2,,-2.17685e-278,,0.0,0.0,1.2,0.2,0.0
single_synapse_relu,0.05,1.2,0.0,0.2,,-2.17685e-278,,0.0,0.0469476,1.2,0.2,1.10204e-17
single_synapse_relu,0.1,1.2,0.0,0.2,,-2.17685e-278,,0.0,0.093644,1.2,0.2,4.3846e-17
single_synapse_relu,0.2,1.2,0.0,0.2,,-2.17685e-278,,0.0,0.186057,1.2,0.2,1.73086e-16
single_synapse_relu,0.4,1.2,0.0,0.2,,0.000834201,,6.95892e-21,0.36402,1.2,0.2,6.62552e-16
single_synapse_relu,0.8,1.2,0.0,0.2,,0.0902865,,8.15165e-17,0.584309,1.2,0.2,1.70709e-15
single_synapse_relu,1.0,1.2,0.0,0.2,,0.0905672,,8.20243e-17,0.58482,1.2,0.2,1.71007e-15
two_synapse_relu,0.1,0.7,0.1,0.7,,-1.1377e-266,,0.0,0.0906155,0.7,0.7,4.10559e-17
two_synapse_relu,0.2,0.7,0.1,0.7,,-1.1377e-266,,0.0,0.127382,0.7,0.7,8.11304e-17
two_synapse_relu,0.2,0.7,0.2,0.7,,-1.1377e-266,,0.0,0.17137,0.7,0.7,1.46838e-16
two_synapse_relu,0.4,0.7,0.2,0.7,,-1.1377e-266,,0.0,0.195413,0.7,0.7,1.90932e-16
two_synapse_relu,0.4,0.9,0.2,0.7,,-1.1377e-266,,0.0,0.285875,0.9,0.7,4.08623e-16
