vin,cint_f,gsum_siemens,vth_v,sigma_v,trials,fire_probability,tfire_mean_s,time_code_0_1,vint_end_mean,ecap_end_j_mean,source,simulator
0.15,1e-14,1e-07,0.004,0.001,3,1.0,2.4591666666666666e-09,0.9504008438818565,0.04502989999999999,1.01385e-17,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,1e-07,0.008,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,1e-07,0.008,0.0,3,0.0,,0.0,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,1e-07,0.008,0.0,3,1.0,1.651e-08,0.5946835443037974,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,1e-07,0.008,0.0,3,1.0,1.11775e-08,0.7296835443037973,0.022514999999999997,2.53462e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,1e-07,0.008,0.0,3,1.0,8.51e-09,0.7972151898734176,0.03002,4.50599e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,1e-07,0.008,0.0,3,1.0,6.91e-09,0.8377215189873417,0.0375249,7.04061e-18,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,1e-07,0.008,0.0,3,1.0,5.8400000000000005e-09,0.8648101265822786,0.04502989999999999,1.01385e-17,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,1e-07,0.008,0.001,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,1e-07,0.008,0.001,3,1.0,2.641e-08,0.3440506329113924,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,1e-07,0.008,0.001,3,1.0,1.3687500000000001e-08,0.666139240506329,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,1e-07,0.008,0.001,3,1.0,9.215833333333333e-09,0.7793459915611815,0.022514999999999997,2.53462e-18,spice,ngspice-46 : Circuit level simulation program
