cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
10,initial_eval,10,1,False,False,0.0379387,0.0334381,0.00450056,0.147856,0.154646,0.147856,0.154646,0.0334381,0.0379387,True,0.433851125,0.0379387,0.0334381,0.00450056,True,0.0379387,0.0334381,0.00450056,True,0.0379387,0.0334381,0.00450056,True,0.0258714,0.024389,0.00148239,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335858,0.33585,5.82354e-10,1.2,
11,initial_eval,11,1,False,False,0.038923,0.0336071,0.00531587,0.149127,0.157153,0.149129,0.157155,0.0336073,0.0389238,True,0.41239925000000005,0.038923,0.0336071,0.00531587,True,0.0389237,0.0336073,0.00531641,True,0.0389243,0.0336074,0.00531684,True,0.0254622,0.0237865,0.00167573,True,0.248555,0.648564,0.26177,0.516055,0.770109,0.300008,0.152067,0.402066,0.336083,0.336079,1.2,5.82354e-10,
12,initial_eval,12,1,False,False,0.0253844,0.0237328,0.00165161,0.112294,0.114746,0.112294,0.114746,0.0237328,0.0253844,True,0.255205325,0.0253844,0.0237328,0.00165161,True,0.0253844,0.0237328,0.00165161,True,0.0253844,0.0237328,0.00165161,True,0.0194423,0.0189978,0.000444469,True,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336616,0.336615,5.82354e-10,1.2,
13,initial_eval,13,1,False,False,0.0362965,0.0335994,0.00269706,0.146822,0.150889,0.146822,0.150889,0.0335994,0.0362965,True,0.33974525,0.0362965,0.0335994,0.00269706,True,0.0362965,0.0335994,0.00269706,True,0.0362965,0.0335994,0.00269706,True,0.0241991,0.0232959,0.000903205,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336331,0.336334,1.2,5.82354e-10,
14,initial_eval,14,1,False,False,0.0402624,0.035895,0.00436734,0.156102,0.162716,0.156102,0.162716,0.0358947,0.0402627,True,0.31753995,0.0402624,0.035895,0.00436734,True,0.0402627,0.0358947,0.00436799,True,0.040263,0.0358944,0.00436852,True,0.025718,0.02445,0.00126795,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770112,0.26136,0.336241,0.336253,1.2,5.82354e-10,
15,initial_eval,15,1,False,False,0.036833,0.0332882,0.00354484,0.146515,0.15186,0.146515,0.15186,0.0332882,0.036833,True,0.25858512499999997,0.036833,0.0332882,0.00354484,True,0.036833,0.0332882,0.00354484,True,0.036833,0.0332882,0.00354484,True,0.0242412,0.023121,0.00112023,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336319,0.336345,1.2,5.82354e-10,
16,train,0,0,True,True,0.0336485,0.0366136,-0.00296512,0.147229,0.151701,0.147229,0.151701,0.0336485,0.0366136,False,0.411487625,0.0336485,0.0366136,-0.00296512,False,0.0336485,0.0366136,-0.00296512,False,0.0336485,0.0366136,-0.00296512,False,0.0243843,0.0252702,-0.000885859,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.19993,1.49542e-07,0.0439626
17,train,8,1,True,True,0.0292891,0.0265251,0.00276401,0.122803,0.126926,0.122803,0.126926,0.0265251,0.0292891,True,0.24862142500000003,0.0292891,0.0265251,0.00276401,True,0.0292891,0.0265251,0.00276401,True,0.0292891,0.026525,0.00276401,True,0.0209615,0.0201469,0.000814608,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336529,0.336524,-3.16887e-08,1.19997,0.0239968
18,train,1,0,True,True,0.0327268,0.0360614,-0.00333465,0.144419,0.149442,0.144419,0.149442,0.0327267,0.0360614,False,0.40603550000000005,0.0327268,0.0360614,-0.00333465,False,0.0327267,0.0360614,-0.00333465,False,0.0327267,0.0360614,-0.00333465,False,0.0240841,0.0250989,-0.00101478,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335875,0.335871,1.19993,1.46971e-07,0.0238897
19,train,9,1,True,True,0.0306356,0.0263719,0.00426363,0.123588,0.12995,0.123588,0.12995,0.0263719,0.0306356,True,0.21884825,0.0306356,0.0263719,0.00426363,True,0.0306356,0.0263719,0.00426363,True,0.0306356,0.0263719,0.00426363,True,0.0213226,0.0197144,0.00160825,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336672,0.33662,-3.7722e-08,1.19998,0.0238919
20,train,2,0,True,True,0.0319138,0.0368442,-0.0049304,0.143034,0.150457,0.143034,0.150459,0.0319137,0.0368449,False,0.40227787500000006,0.0319138,0.0368442,-0.0049304,False,0.0319137,0.0368448,-0.00493117,False,0.0319135,0.0368453,-0.0049318,False,0.023971,0.0254992,-0.0015282,False,0.770113,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335803,0.335802,1.4511e-07,1.19993,1.04533
21,train,10,1,True,True,0.0295896,0.0374571,-0.00786754,0.149339,0.13753,0.149339,0.13753,0.0374571,0.0295896,False,0.433851125,0.0295896,0.0374571,-0.00786754,False,0.0295896,0.0374571,-0.00786754,False,0.0295896,0.0374571,-0.00786755,False,0.0229155,0.025969,-0.00305345,False,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335788,0.335864,1.19993,1.366e-07,1.04533
22,train,3,0,True,True,0.0363679,0.0413915,-0.0050236,0.158276,0.165891,0.158276,0.165891,0.0363679,0.0413917,False,0.501807,0.0363679,0.0413915,-0.0050236,False,0.0363679,0.0413917,-0.00502372,False,0.036368,0.0413918,-0.00502382,False,0.0262301,0.0282587,-0.00202863,False,0.432994,0.770113,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335573,0.335536,1.19993,1.40573e-07,0.0439253
23,train,11,1,True,True,0.0408651,0.0263008,0.0145643,0.131196,0.152905,0.131195,0.152907,0.0263004,0.040866,True,0.41239962500000005,0.0408651,0.0263008,0.0145643,True,0.040866,0.0263005,0.0145655,True,0.0408666,0.0263002,0.0145664,True,0.0264106,0.0210585,0.00535205,True,0.248555,0.648564,0.26177,0.516055,0.770112,0.300008,0.152067,0.402066,0.336109,0.336002,1.19991,6.98408e-07,1.04533
24,train,4,0,True,True,0.0324062,0.0479446,-0.0155384,0.15289,0.176322,0.15289,0.176321,0.0324063,0.0479443,False,0.607510875,0.0324062,0.0479446,-0.0155384,False,0.0324063,0.0479443,-0.015538,False,0.0324063,0.0479441,-0.0155378,False,0.0243835,0.0304384,-0.00605486,False,0.608103,0.770111,0.770112,0.645065,0.08,0.770112,0.446472,0.770112,0.335684,0.335552,1.19993,1.48879e-07,0.0439626
25,train,12,1,True,True,0.0265946,0.0205492,0.00604531,0.10519,0.114124,0.10519,0.114124,0.0205492,0.0265946,True,0.255205325,0.0265946,0.0205492,0.00604531,True,0.0265946,0.0205492,0.00604531,True,0.0265945,0.0205492,0.00604531,True,0.0205224,0.0172991,0.00322327,True,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336771,0.336507,1.19997,-4.44954e-08,1.04533
26,train,5,0,True,True,0.0253934,0.0487644,-0.023371,0.133581,0.168176,0.13358,0.168175,0.025393,0.0487644,False,0.545577,0.0253934,0.0487644,-0.023371,False,0.0253931,0.0487644,-0.0233714,False,0.0253928,0.0487645,-0.0233716,False,0.0211549,0.0302372,-0.00908225,False,0.770114,0.770112,0.608497,0.770114,0.409299,0.234623,0.168272,0.633585,0.335956,0.335743,1.19993,1.89412e-07,0.0439627
27,train,13,1,True,True,0.0390166,0.026945,0.0120716,0.131663,0.149694,0.131663,0.149694,0.026945,0.0390166,True,0.33974525,0.0390166,0.026945,0.0120716,True,0.0390166,0.026945,0.0120716,True,0.0390166,0.026945,0.0120716,True,0.0257864,0.0205325,0.0052539,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336357,0.336196,1.19994,1.0821e-07,1.04533
28,train,6,0,True,True,0.0259223,0.0530801,-0.0271578,0.137584,0.177732,0.137583,0.177731,0.0259219,0.0530799,False,0.5987281249999999,0.0259223,0.0530801,-0.0271578,False,0.025922,0.0530799,-0.0271579,False,0.0259217,0.0530797,-0.027158,False,0.02169,0.0321077,-0.0104177,False,0.541098,0.770111,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335834,0.335608,1.19993,1.61234e-07,0.0410244
29,train,14,1,True,True,0.0542616,0.0185435,0.0357181,0.11509,0.165897,0.11509,0.165897,0.0185433,0.0542615,True,0.317540325,0.0542616,0.0185435,0.0357181,True,0.0542615,0.0185434,0.0357182,True,0.0542615,0.0185433,0.0357182,True,0.0325715,0.0169664,0.0156051,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770115,0.26136,0.336522,0.336036,-2.10695e-08,1.19997,0.0239784
30,train,7,0,True,True,0.0221088,0.0509574,-0.0288486,0.124904,0.166969,0.124904,0.166969,0.0221087,0.0509575,False,0.47250024999999996,0.0221088,0.0509574,-0.0288486,False,0.0221087,0.0509575,-0.0288488,False,0.0221086,0.0509576,-0.028849,False,0.0196168,0.03122,-0.0116032,False,0.699475,0.770112,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.336049,0.335735,1.19991,5.39261e-07,0.0268342
31,train,15,1,True,True,0.0480826,0.0186119,0.0294707,0.112561,0.154892,0.112561,0.154892,0.0186119,0.0480826,True,0.25858512499999997,0.0480826,0.0186119,0.0294707,True,0.0480826,0.0186119,0.0294707,True,0.0480826,0.0186119,0.0294707,True,0.0303605,0.0163028,0.0140577,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336722,0.336131,-2.84764e-08,1.19998,0.0239071
32,train,0,0,True,True,0.0236826,0.0404511,-0.0167685,0.123586,0.14841,0.123586,0.14841,0.0236826,0.0404511,False,0.411487625,0.0236826,0.0404511,-0.0167685,False,0.0236826,0.0404511,-0.0167685,False,0.0236826,0.0404511,-0.0167685,False,0.0202151,0.0275017,-0.0072866,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.336007,0.335761,1.19992,3.48749e-07,0.0238892
33,train,8,1,True,True,0.0351826,0.01735,0.0178326,0.10203,0.127931,0.10203,0.127931,0.01735,0.0351826,True,0.24862142500000003,0.0351826,0.01735,0.0178326,True,0.0351826,0.01735,0.0178326,True,0.0351826,0.01735,0.0178327,True,0.0248813,0.015344,0.0095373,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336984,0.336288,-3.60681e-08,1.19999,0.0238929
34,train,1,0,True,True,0.022548,0.0392213,-0.0166733,0.119577,0.144192,0.119577,0.144192,0.022548,0.0392213,False,0.40603550000000005,0.022548,0.0392213,-0.0166733,False,0.022548,0.0392213,-0.0166733,False,0.022548,0.0392213,-0.0166733,False,0.0198394,0.0272259,-0.00738649,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.336017,0.335735,5.52913e-05,1.19969,1.04533
35,train,9,1,True,True,0.025415,0.0241039,0.0013111,0.113245,0.115192,0.113245,0.115192,0.0241039,0.025415,True,0.21884825,0.025415,0.0241039,0.0013111,True,0.025415,0.0241039,0.0013111,True,0.025415,0.0241039,0.0013111,True,0.0190123,0.0192658,-0.000253498,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.33666,0.336759,1.76841e-07,1.19994,0.0439634
36,train,2,0,True,True,0.0291085,0.0273935,0.00171496,0.127375,0.124814,0.127375,0.124814,0.0291085,0.0273934,True,0.402278,0.0291085,0.0273935,0.00171496,True,0.0291085,0.0273934,0.00171502,True,0.0291084,0.0273934,0.00171507,True,0.0230977,0.0224766,0.000621031,True,0.770114,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335788,0.335807,1.20153,7.37672e-05,0.0269051
37,train,10,1,True,True,0.031563,0.0274074,0.00415559,0.127023,0.133234,0.127023,0.133234,0.0274074,0.031563,True,0.433851125,0.031563,0.0274074,0.00415559,True,0.031563,0.0274074,0.00415559,True,0.031563,0.0274074,0.00415559,True,0.0238127,0.0224426,0.00137015,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.33583,0.335812,2.24178e-05,1.20185,0.0239151
38,train,3,0,True,True,0.0299601,0.0384592,-0.00849911,0.139295,0.15206,0.139295,0.15206,0.02996,0.0384591,False,0.501806875,0.0299601,0.0384592,-0.00849911,False,0.02996,0.0384591,-0.00849915,False,0.0299599,0.0384591,-0.00849918,False,0.0243631,0.0272183,-0.0028552,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335529,0.335494,1.34304e-07,1.19993,1.04533
39,train,11,1,True,True,0.0224766,0.0321479,-0.00967132,0.128895,0.114564,0.128895,0.114564,0.0321478,0.0224765,False,0.41239975000000006,0.0224766,0.0321479,-0.00967132,False,0.0224765,0.0321478,-0.0096713,False,0.0224765,0.0321477,-0.00967129,False,0.0186745,0.0244777,-0.0058032,False,0.248555,0.648564,0.26177,0.516055,0.770113,0.300008,0.152067,0.402066,0.335897,0.336285,1.19996,-1.9901e-08,1.04533
40,train,4,0,True,True,0.0349238,0.0312945,0.00362932,0.145259,0.139803,0.145258,0.139802,0.0349235,0.0312942,True,0.60751,0.0349238,0.0312945,0.00362932,True,0.0349235,0.0312942,0.00362929,True,0.0349233,0.031294,0.00362927,True,0.0255649,0.0246892,0.00087571,True,0.608103,0.77011,0.77011,0.645065,0.08,0.77011,0.446472,0.77011,0.335591,0.335561,1.32135e-07,1.19993,1.04533
41,train,12,1,True,True,0.0172746,0.0262012,-0.00892662,0.109204,0.0961161,0.109204,0.0961161,0.0262012,0.0172746,False,0.255205325,0.0172746,0.0262012,-0.00892662,False,0.0172746,0.0262012,-0.00892662,False,0.0172746,0.0262012,-0.00892663,False,0.0146949,0.0220523,-0.00735737,False,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336309,0.337197,1.19999,-3.21453e-08,1.04533
42,train,5,0,True,True,0.0405398,0.0209879,0.0195519,0.144542,0.115866,0.144541,0.115866,0.0405396,0.0209877,True,0.5455754999999999,0.0405398,0.0209879,0.0195519,True,0.0405397,0.0209878,0.0195519,True,0.0405395,0.0209876,0.0195519,True,0.0279042,0.0191549,0.00874936,True,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335705,0.336028,1.1996,2.56469e-05,0.0439129
43,train,13,1,True,True,0.0237153,0.032511,-0.00879565,0.131229,0.118162,0.131229,0.118162,0.032511,0.0237153,False,0.33974525,0.0237153,0.032511,-0.00879565,False,0.0237153,0.032511,-0.00879565,False,0.0237153,0.032511,-0.00879565,False,0.0186291,0.0238341,-0.00520504,False,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336164,0.33651,1.19997,-2.86509e-08,1.04533
44,train,6,0,True,True,0.0346747,0.0287314,0.00594322,0.141947,0.133042,0.141946,0.133041,0.0346744,0.0287312,True,0.5987278749999999,0.0346747,0.0287314,0.00594322,True,0.0346744,0.0287312,0.00594321,True,0.0346742,0.028731,0.00594319,True,0.0251317,0.0235061,0.00162565,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.77011,0.123952,0.770109,0.335682,0.335659,1.19993,1.40504e-07,0.0439626
45,train,14,1,True,True,0.0372688,0.0199522,0.0173166,0.110899,0.136274,0.110899,0.136274,0.0199521,0.0372687,True,0.31753995,0.0372688,0.0199522,0.0173166,True,0.0372687,0.0199521,0.0173166,True,0.0372686,0.019952,0.0173166,True,0.0252592,0.0178118,0.00744734,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770112,0.26136,0.33644,0.336126,-2.48003e-08,1.19997,0.0239963
46,train,7,0,True,True,0.029978,0.0283217,0.0016563,0.130396,0.12792,0.130396,0.12792,0.0299779,0.0283216,True,0.47249949999999996,0.029978,0.0283217,0.0016563,True,0.0299779,0.0283216,0.00165626,True,0.0299778,0.0283216,0.00165623,True,0.0228946,0.0226821,0.000212467,True,0.699475,0.770106,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.33589,0.335853,0.000124385,1.2009,1.04533
47,train,15,1,True,True,0.0273991,0.0263755,0.0010236,0.120712,0.122237,0.120712,0.122237,0.0263755,0.0273991,True,0.25858512499999997,0.0273991,0.0263755,0.0010236,True,0.0273991,0.0263755,0.00102359,True,0.0273991,0.0263755,0.00102359,True,0.019019,0.0217249,-0.00270592,False,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336264,0.336764,1.1999,1.02274e-06,1.04533
48,train,0,0,True,True,0.035556,0.022645,0.012911,0.136551,0.11744,0.136551,0.11744,0.035556,0.022645,True,0.411487625,0.035556,0.022645,0.012911,True,0.035556,0.022645,0.012911,True,0.035556,0.022645,0.0129111,True,0.0256904,0.0198859,0.00580454,True,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335805,0.336024,1.19977,5.73621e-05,0.0439605
49,train,8,1,True,True,0.0254987,0.0187475,0.00675119,0.0995727,0.109515,0.0995727,0.109515,0.0187475,0.0254987,True,0.24862142500000003,0.0254987,0.0187475,0.00675119,True,0.0254987,0.0187475,0.00675119,True,0.0254987,0.0187475,0.00675119,True,0.0199664,0.016829,0.00313736,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.33678,0.336571,1.19997,-5.43226e-08,1.04533
50,train,1,0,True,True,0.0306022,0.0260958,0.00450636,0.129575,0.122854,0.129575,0.122854,0.0306022,0.0260958,True,0.40603550000000005,0.0306022,0.0260958,0.00450636,True,0.0306022,0.0260958,0.00450636,True,0.0306022,0.0260958,0.00450636,True,0.0232383,0.0221153,0.00112299,True,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335865,0.335851,0.000130958,1.20113,1.04533
51,train,9,1,True,True,0.0180481,0.0264623,-0.00841417,0.110776,0.0984138,0.110776,0.0984137,0.0264623,0.0180481,False,0.21884825,0.0180481,0.0264623,-0.00841417,False,0.0180481,0.0264623,-0.00841418,False,0.0180481,0.0264623,-0.00841419,False,0.0151871,0.0213753,-0.0061882,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336506,0.337184,1.19999,-4.14051e-08,1.04533
52,train,2,0,True,True,0.0307881,0.023538,0.00725011,0.127134,0.116364,0.127134,0.116364,0.0307881,0.0235379,True,0.402278,0.0307881,0.023538,0.00725011,True,0.0307881,0.0235379,0.00725014,True,0.030788,0.0235378,0.00725017,True,0.0242051,0.0208611,0.00334393,True,0.770114,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335696,0.335838,1.2006,0.000111118,0.0410244
53,train,10,1,True,True,0.026754,0.0307737,-0.0040197,0.130682,0.12468,0.130682,0.12468,0.0307737,0.026754,False,0.433851125,0.026754,0.0307737,-0.0040197,False,0.026754,0.0307737,-0.00401971,False,0.026754,0.0307737,-0.00401971,False,0.0220748,0.0238941,-0.00181928,False,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335769,0.335835,1.20084,0.000121842,1.04533
54,train,3,0,True,True,0.0272711,0.0387513,-0.0114802,0.132354,0.149513,0.132353,0.149513,0.027271,0.0387512,False,0.5018065,0.0272711,0.0387513,-0.0114802,False,0.027271,0.0387512,-0.0114802,False,0.027271,0.0387511,-0.0114801,False,0.0227201,0.0281422,-0.00542204,False,0.432994,0.770109,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335618,0.335427,1.19993,1.42541e-07,0.0439614
55,train,11,1,True,True,0.0364213,0.0194205,0.0170008,0.108843,0.133724,0.108843,0.133724,0.0194204,0.0364212,True,0.41239962500000005,0.0364213,0.0194205,0.0170008,True,0.0364212,0.0194204,0.0170008,True,0.0364212,0.0194204,0.0170008,True,0.0255108,0.0181504,0.00736037,True,0.248555,0.648564,0.26177,0.516055,0.770112,0.300008,0.152067,0.402066,0.336224,0.335915,-1.23309e-08,1.19996,0.023997
56,train,4,0,True,True,0.0294485,0.0373673,-0.00791881,0.137089,0.148972,0.137088,0.148971,0.0294482,0.0373669,False,0.6075094999999999,0.0294485,0.0373673,-0.00791881,False,0.0294482,0.0373669,-0.00791872,False,0.029448,0.0373667,-0.00791866,False,0.0232289,0.0272811,-0.00405218,False,0.608103,0.770109,0.770109,0.645065,0.08,0.770109,0.446472,0.770109,0.33567,0.335504,0.000114226,1.20067,1.04533
57,train,12,1,True,True,0.0173905,0.0212903,-0.00389978,0.0983843,0.0926512,0.0983843,0.0926512,0.0212903,0.0173905,False,0.255205325,0.0173905,0.0212903,-0.00389978,False,0.0173905,0.0212903,-0.00389978,False,0.0173905,0.0212903,-0.00389978,False,0.0154165,0.0193169,-0.00390042,False,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336505,0.337054,1.19999,-2.04927e-08,1.04533
58,train,5,0,True,True,0.0356151,0.0231769,0.0124382,0.137387,0.118951,0.137387,0.11895,0.0356149,0.0231767,True,0.54557725,0.0356151,0.0231769,0.0124382,True,0.0356149,0.0231767,0.0124382,True,0.0356148,0.0231766,0.0124382,True,0.0255264,0.0206019,0.00492454,True,0.770115,0.770112,0.608497,0.770115,0.409299,0.234623,0.168272,0.633585,0.335763,0.335885,1.19993,1.29174e-07,0.0439627
59,train,13,1,True,True,0.0249248,0.0288971,-0.00397231,0.124321,0.118407,0.124321,0.118407,0.0288971,0.0249248,False,0.33974525,0.0249248,0.0288971,-0.00397231,False,0.0249248,0.0288971,-0.00397232,False,0.0249248,0.0288971,-0.00397232,False,0.0196811,0.0219619,-0.00228076,False,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336246,0.336389,-1.63663e-08,1.19996,0.0239965
60,train,6,0,True,True,0.0399863,0.0226002,0.0173861,0.145865,0.120206,0.145864,0.120205,0.0399861,0.0225999,True,0.5987263749999999,0.0399863,0.0226002,0.0173861,True,0.0399861,0.0225999,0.0173861,True,0.0399859,0.0225997,0.0173862,True,0.0272984,0.0208604,0.00643806,True,0.541098,0.770107,0.770106,0.700955,0.34338,0.770107,0.123952,0.770106,0.335626,0.335772,1.42016e-07,1.19993,1.04533
