experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.58,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,-3.07867e-88,0.3,0.213414,1.93611e-87,0.3,-0.0865861,-0.0865861,-2.74958e-09,-2.74958e-09,0.58,0.16,0.579382,0.158407,-0.000617501,-0.00159282,0.000975324,False
pair_action_decrease,0.58,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,-3.07867e-88,0.3,0.213414,-3.44003e-88,0.3,-0.0865861,-0.0865861,-1.75484e-08,1.75484e-08,0.58,0.16,0.57619,0.159832,-0.00380993,-0.000168065,-0.00364187,True
pair_action_increase,0.58,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,-1.39436e-112,0.3,0.213414,-9.19736e-112,0.3,-0.0865861,-0.0865861,-2.8189e-09,-2.8189e-09,0.58,0.24,0.579382,0.236679,-0.000617504,-0.00332101,0.00270351,False
pair_action_decrease,0.58,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,-1.39436e-112,0.3,0.213414,-5.17886e-112,0.3,-0.0865861,-0.0865861,-1.76161e-08,1.76161e-08,0.58,0.24,0.57619,0.238123,-0.00380993,-0.00187733,-0.00193261,True
pair_action_increase,0.24,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112832,0.299869,0.000130702,0.115589,0.299737,0.000262752,0.112701,0.115326,0.00262506,0.00262506,0.24,0.1,0.242921,0.0998904,0.00292056,-0.000109542,0.00303011,True
pair_action_decrease,0.24,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112832,0.299869,0.000130702,0.112582,0.299737,0.000262752,0.112701,0.112319,-0.000382368,0.000382368,0.24,0.1,0.239735,0.101311,-0.00026515,0.00131127,-0.00157642,True
pair_action_increase,0.24,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112832,1.30119e-14,0.3,0.115589,8.96106e-09,0.3,-0.187168,-0.184411,0.00275712,0.00275712,0.24,0.13,0.242921,0.129129,0.00292056,-0.000871102,0.00379167,True
pair_action_decrease,0.24,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112832,1.30119e-14,0.3,0.112582,3.57096e-18,0.3,-0.187168,-0.187418,-0.000250318,0.000250318,0.24,0.13,0.239735,0.13055,-0.00026515,0.000549736,-0.000814886,True
pair_action_increase,0.24,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112833,-1.36185e-90,0.3,0.11559,3.88241e-89,0.3,-0.187167,-0.18441,0.00275714,0.00275714,0.24,0.16,0.242921,0.158407,0.00292056,-0.00159282,0.00451339,True
pair_action_decrease,0.24,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112833,-1.36185e-90,0.3,0.112582,-3.63228e-90,0.3,-0.187167,-0.187418,-0.000250322,0.000250322,0.24,0.16,0.239735,0.159832,-0.00026515,-0.000168064,-9.70854e-05,True
pair_action_increase,0.24,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112832,-1.11739e-120,0.3,0.115589,1.35048e-120,0.3,-0.187168,-0.184411,0.0027571,0.0027571,0.24,0.24,0.242921,0.236679,0.00292056,-0.00332101,0.00624157,True
pair_action_decrease,0.24,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.112832,-1.11739e-120,0.3,0.112582,-7.48296e-121,0.3,-0.187168,-0.187418,-0.000250318,0.000250318,0.24,0.24,0.239735,0.238123,-0.00026515,-0.00187733,0.00161218,True
pair_action_increase,0.34,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207395,0.299869,0.000130702,0.208324,0.299737,0.000262752,0.207264,0.208061,0.000796387,0.000796387,0.34,0.1,0.34098,0.0998904,0.000980214,-0.000109542,0.00108976,True
pair_action_decrease,0.34,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207395,0.299869,0.000130702,0.205549,0.299737,0.000262752,0.207264,0.205286,-0.00197863,0.00197863,0.34,0.1,0.33805,0.101311,-0.00194955,0.00131127,-0.00326082,True
pair_action_increase,0.34,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207395,1.30119e-14,0.3,0.208324,8.96106e-09,0.3,-0.0926048,-0.0916764,0.000928446,0.000928446,0.34,0.13,0.34098,0.129129,0.000980214,-0.000871102,0.00185132,True
pair_action_decrease,0.34,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207395,1.30119e-14,0.3,0.205549,3.57104e-18,0.3,-0.0926048,-0.0944514,-0.00184658,0.00184658,0.34,0.13,0.33805,0.13055,-0.00194955,0.000549735,-0.00249929,True
pair_action_increase,0.34,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207396,-1.36185e-90,0.3,0.208324,3.88241e-89,0.3,-0.0926044,-0.091676,0.000928426,0.000928426,0.34,0.16,0.34098,0.158407,0.000980214,-0.00159282,0.00257304,True
pair_action_decrease,0.34,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207396,-1.36185e-90,0.3,0.205549,-3.63229e-90,0.3,-0.0926044,-0.094451,-0.00184656,0.00184656,0.34,0.16,0.33805,0.159832,-0.00194955,-0.000168065,-0.00178149,True
pair_action_increase,0.34,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207395,-1.1144e-120,0.3,0.208324,1.34991e-120,0.3,-0.0926048,-0.0916764,0.000928433,0.000928433,0.34,0.24,0.34098,0.236679,0.000980209,-0.00332101,0.00430122,True
pair_action_decrease,0.34,0.24,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.207395,-1.1144e-120,0.3,0.205549,-7.45273e-121,0.3,-0.0926048,-0.0944514,-0.00184658,0.00184658,0.34,0.24,0.33805,0.238123,-0.00194955,-0.00187733,-7.22268e-05,True
pair_action_increase,0.46,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,0.299869,0.000130702,0.320918,0.299737,0.000262752,0.321125,0.320655,-0.000470062,-0.000470062,0.46,0.1,0.459644,0.0998904,-0.000355612,-0.000109542,-0.00024607,False
pair_action_decrease,0.46,0.1,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,0.299869,0.000130702,0.318132,0.299737,0.000262763,0.321125,0.31787,-0.00325534,0.00325534,0.46,0.1,0.456714,0.101311,-0.00328613,0.00131127,-0.0045974,True
pair_action_increase,0.46,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,1.30119e-14,0.3,0.320918,8.96106e-09,0.3,0.0212558,0.0209177,-0.000338004,-0.000338004,0.46,0.13,0.459644,0.129129,-0.000355612,-0.000871102,0.00051549,False
pair_action_decrease,0.46,0.13,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,1.30119e-14,0.3,0.318132,3.65954e-18,0.3,0.0212558,0.0181325,-0.00312327,0.00312327,0.46,0.13,0.456714,0.13055,-0.00328613,0.000549735,-0.00383587,True
pair_action_increase,0.46,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,-1.36185e-90,0.3,0.320918,3.88241e-89,0.3,0.0212557,0.0209177,-0.000338012,-0.000338012,0.46,0.16,0.459644,0.158407,-0.000355612,-0.00159282,0.00123721,False
pair_action_decrease,0.46,0.16,0.5,0.65,1.0,0.0008,bounded_charge_discharge,none,0.321256,-1.36185e-90,0.3,0.318132,1.20597e-90,0.3,0.0212557,0.0181325,-0.00312327,0.00312327,0.46,0.16,0.456714,0.159832,-0.00328613,-0.000168065,-0.00311807,True
