cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
88,train,4,0,True,True,0.0882368,0.0668862,0.0213507,0.119461,0.0994712,0.00332571,0.0397048,0.088232,0.066894,True,0.05538343749999999,0.0702684,0.0321372,0.0896177,0.0249533,0.0401865,0.0484577,0.07278,0.0646667,0.336556,0.285856,3.02639e-07,1.2
89,train,5,0,True,True,0.0928556,0.0663815,0.0264741,0.125315,0.098951,0.00713665,0.0336384,0.0928505,0.0663892,True,0.049965525,0.0645484,0.0543351,0.0605831,0.0241199,0.0245194,0.044903,0.058341,0.0683743,0.337183,0.325752,3.02628e-07,1.2
90,train,6,1,True,True,0.100004,0.0649535,0.0350503,0.0385864,0.133734,0.0012482,0.0565163,0.0649499,0.100087,True,0.243581875,0.256491,0.249362,0.206612,0.274515,0.231504,0.224318,0.256491,0.249362,1.10245,0.0216122,1.2,3.02614e-07
91,train,7,1,True,True,0.0995582,0.0651995,0.0343586,0.0384223,0.133276,0.00128627,0.0561931,0.065196,0.0996422,True,0.24340574999999998,0.256327,0.24917,0.206459,0.274316,0.231344,0.224133,0.256327,0.24917,1.10668,0.0232462,1.2,3.02615e-07
92,train,8,1,True,True,0.0649657,0.0778933,-0.0129276,0.0967032,0.0974918,-0.00186857,0.0399817,0.077889,0.0649736,False,0.07544595000000001,0.0818098,0.0981831,0.0853938,0.0389021,0.0541656,0.0507608,0.104303,0.0900494,0.340382,0.283428,3.0267e-07,1.2
93,train,9,1,True,True,0.0988787,0.0607143,0.0381644,0.0379452,0.132577,1.21871e-05,0.0832746,0.0607109,0.0989452,True,0.24305075,0.255996,0.248782,0.206149,0.273917,0.231022,0.22376,0.255997,0.248783,1.11587,0.0069054,1.2,3.02616e-07
94,train,10,1,True,True,0.0985016,0.0635467,0.0349549,0.0377303,0.132189,4.63077e-05,0.0830071,0.0635432,0.0985685,True,0.24287324999999998,0.25583,0.248589,0.205994,0.273718,0.230861,0.223574,0.255831,0.248589,1.12071,0.00694522,1.2,3.02617e-07
95,train,11,1,True,True,0.0981159,0.0631112,0.0350047,0.037553,0.131792,7.57574e-05,0.0827375,0.0631077,0.098184,True,0.242694375,0.255663,0.248394,0.205838,0.273517,0.230699,0.223386,0.255664,0.248394,1.12412,0.00698587,1.2,3.02617e-07
96,train,0,0,True,True,0.0915525,0.0632721,0.0282804,0.124741,0.095746,0.023466,0.038273,0.0915526,0.0632801,True,0.031008387499999998,0.0195904,0.0790437,-1.81206e-25,0.0762965,-2.12597e-25,0.0318163,0.0192868,0.0220334,0.333133,0.298469,3.02631e-07,1.2
97,train,1,0,True,True,0.0869015,0.0628197,0.0240818,0.119631,0.0952791,0.0124152,0.0382199,0.0868967,0.0628277,True,0.05511639374999999,0.0738887,0.0846633,-6.91113e-74,0.156683,0.00465855,0.0633722,0.0366858,0.0209796,0.336091,0.298936,3.02642e-07,1.2
98,train,2,0,True,True,0.0675757,0.0626594,0.00491628,0.0574351,0.095128,-0.000568223,0.0408791,0.067572,0.0626683,True,0.1319577625,0.184404,0.116723,0.125389,0.141408,0.0931481,0.125891,0.126361,0.142338,0.36916,0.274629,3.0272e-07,1.2
99,train,3,0,True,True,0.0915629,0.0619172,0.0296457,0.124627,0.0943493,0.0219089,0.0378368,0.0915599,0.0619253,True,0.041562024999999996,0.0359085,0.0646698,0.0356942,0.0547868,0.0125197,0.0466583,0.0422778,0.0399811,0.333424,0.301986,3.02631e-07,1.2
100,train,4,0,True,True,0.0821303,0.0614708,0.0206595,0.113231,0.0938891,0.00464655,0.0380536,0.0821258,0.061479,True,0.053715925,0.069036,0.029552,0.0875983,0.0227762,0.0388924,0.0472739,0.0715557,0.0630429,0.336741,0.30038,3.02656e-07,1.2
101,train,5,0,True,True,0.0870173,0.061027,0.0259902,0.119393,0.0934317,0.00792759,0.0375523,0.0870125,0.0610352,True,0.048253225,0.0631822,0.0517984,0.0584486,0.0225512,0.0228629,0.043835,0.0566103,0.0667372,0.336093,0.304196,3.02642e-07,1.2
102,train,6,1,True,True,0.0957183,0.057081,0.0386372,0.0362298,0.129324,0.00028663,0.0810954,0.0570779,0.0957938,True,0.24142524999999998,0.254476,0.247013,0.204728,0.272093,0.229546,0.222057,0.254476,0.247013,1.14646,0.00724493,1.2,3.02622e-07
103,train,7,1,True,True,0.0953061,0.0573174,0.0379887,0.0360835,0.1289,0.00177004,0.0533536,0.0573142,0.0953952,True,0.24124162500000002,0.254303,0.246814,0.204567,0.271887,0.229379,0.221865,0.254304,0.246814,1.14952,0.076876,1.2,3.02623e-07
104,train,8,1,True,True,0.0597073,0.0729303,-0.013223,0.0914516,0.0920706,-0.00107507,0.0390846,0.0729263,0.0597155,False,0.07351266249999999,0.0811029,0.0941594,0.0840866,0.0365547,0.0524737,0.0493838,0.101558,0.0887822,0.340863,0.292112,3.02691e-07,1.2
105,train,9,1,True,True,0.0946423,0.0568112,0.0378311,0.0356879,0.128217,0.000381766,0.0802843,0.0568081,0.0947195,True,0.240872375,0.253957,0.246413,0.204244,0.271473,0.229042,0.22148,0.253957,0.246413,1.15453,0.00738072,1.2,3.02624e-07
106,train,10,1,True,True,0.0942775,0.0559949,0.0382826,0.0355099,0.127841,0.00041442,0.0799998,0.0559918,0.094355,True,0.24068687499999997,0.253782,0.246212,0.204082,0.271265,0.228873,0.221286,0.253783,0.246212,1.1579,0.00742967,1.2,3.02625e-07
