cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
81,final_eval,1,0,False,False,0.0752455,0.0552119,0.0200337,0.26541,0.23403,0.226396,0.216322,0.050791,0.0406138,True,0.406035125,0.0752455,0.0552119,0.0200337,True,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.0017677,0.00186406,1.18736,1.14029,,,,,,,,,,,,,,,,,,,
82,final_eval,2,0,False,False,0.0752525,0.0552063,0.0200462,0.265419,0.23402,0.226433,0.21632,0.0508024,0.0406095,True,0.40224437500000004,0.0752525,0.0552063,0.0200462,True,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00176736,0.00186408,1.1776,1.1402,,,,,,,,,,,,,,,,,,,
83,final_eval,3,0,False,False,0.0654308,0.0795845,-0.0141537,0.264347,0.286806,0.225765,0.269078,0.044657,0.0582643,False,0.5017732500000001,0.0654308,0.0795845,-0.0141537,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00177344,0.00145038,1.16802,1.13995,,,,,,,,,,,,,,,,,,,
84,final_eval,4,0,False,False,0.0659024,0.0793747,-0.0134723,0.265417,0.286803,0.227356,0.269603,0.0474222,0.0567194,False,0.6073778750000001,0.0659024,0.0793747,-0.0134723,False,0.608103,0.769845,0.769846,0.645065,0.08,0.769846,0.446472,0.769846,0.00175903,0.00144718,1.15847,1.14009,,,,,,,,,,,,,,,,,,,
85,final_eval,5,0,False,False,0.0739075,0.0570286,0.0168789,0.264401,0.237912,0.225524,0.219781,0.0498663,0.0417476,True,0.545476,0.0739075,0.0570286,0.0168789,True,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00177564,0.0018298,1.14891,1.14031,,,,,,,,,,,,,,,,,,,
86,final_eval,6,0,False,False,0.0744203,0.0568833,0.017537,0.265426,0.237905,0.22746,0.220016,0.0514784,0.0458226,True,0.5985944999999999,0.0744203,0.0568833,0.017537,True,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.0017581,0.00182752,1.14011,1.1402,,,,,,,,,,,,,,,,,,,
87,final_eval,7,0,False,False,0.0734112,0.0571668,0.0162443,0.263403,0.23791,0.224379,0.21958,0.0495028,0.0418387,True,0.472466125,0.0734112,0.0571668,0.0162443,True,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00178618,0.00183176,1.14011,1.1402,,,,,,,,,,,,,,,,,,,
88,final_eval,8,1,False,False,0.0861992,0.0527934,0.0334057,0.234627,0.286821,0.199897,0.267989,0.0412923,0.059954,True,0.24862142500000003,0.0861992,0.0527934,0.0334057,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00204604,0.00145705,1.14031,1.13989,,,,,,,,,,,,,,,,,,,
89,final_eval,9,1,False,False,0.0452925,0.0792896,-0.0339971,0.261538,0.20914,0.221237,0.199073,0.0523375,0.0358135,False,0.21884825,0.0452925,0.0792896,-0.0339971,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00181576,0.00205611,1.13995,1.14036,,,,,,,,,,,,,,,,,,,
90,final_eval,10,1,False,False,0.0679686,0.0696829,-0.00171438,0.26538,0.262667,0.226652,0.245096,0.0472257,0.0494748,False,0.433850625,0.0679686,0.0696829,-0.00171438,False,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00176538,0.00161302,1.14017,1.14007,,,,,,,,,,,,,,,,,,,
91,final_eval,11,1,False,False,0.0573711,0.0722525,-0.0148814,0.260929,0.237577,0.22175,0.219444,0.0485961,0.0419618,False,0.41236612500000003,0.0573711,0.0722525,-0.0148814,False,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00181087,0.00183309,1.1401,1.14024,,,,,,,,,,,,,,,,,,,
92,final_eval,12,1,False,False,0.0510854,0.0765642,-0.0254789,0.263388,0.223707,0.224634,0.208807,0.0521291,0.0433047,False,0.2552052,0.0510854,0.0765642,-0.0254789,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00178382,0.00194311,1.14006,1.14026,,,,,,,,,,,,,,,,,,,
93,final_eval,13,1,False,False,0.0840726,0.0564641,0.0276085,0.243494,0.286876,0.22292,0.272429,0.0410901,0.0560268,True,0.339744875,0.0840726,0.0564641,0.0276085,True,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.0017998,0.00143023,1.14028,1.1399,,,,,,,,,,,,,,,,,,,
94,final_eval,14,1,False,False,0.0862391,0.0527972,0.0334419,0.234662,0.286913,0.19972,0.267875,0.0372795,0.062562,True,0.317506575,0.0862391,0.0527972,0.0334419,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769845,0.26136,0.00204819,0.00145775,1.14024,1.14002,,,,,,,,,,,,,,,,,,,
95,final_eval,15,1,False,False,0.0862315,0.0527888,0.0334427,0.234633,0.286885,0.199053,0.267992,0.0411687,0.0600326,True,0.258585,0.0862315,0.0527888,0.0334427,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00205636,0.00145703,1.14022,1.14005,,,,,,,,,,,,,,,,,,,
