cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
27,train,3,0,True,True,0.124081,0.129787,-0.00570543,0.136819,0.143139,0.00828828,0.00824262,0.124074,0.12978,False,0.09145665,0.177599,0.0626005,0.0967073,0.09769,0.055128,0.112823,0.0751176,0.0539878,0.339993,0.339987,0.878069,0.928296,0.0,-0.00505488,0.000650555,0.017747,0.00101891,0.017747,2.68075e-07
28,train,0,0,True,True,0.120874,0.12605,-0.00517534,0.135863,0.141609,0.00795701,0.00796761,0.120868,0.126043,False,0.0905653625,0.058768,0.194419,0.0493414,0.0992321,0.0478382,0.0691814,0.111591,0.0941518,0.339385,0.339408,0.876846,0.929955,0.0,-0.00449295,0.000682388,0.0244157,0.00118952,0.0244157,2.68075e-07
29,train,1,1,True,True,0.126498,0.120948,0.00554987,0.141158,0.149828,0.0288667,0.0289532,0.120942,0.126491,True,0.0711943875,0.0629195,0.129429,-3.3587e-26,0.186796,0.0107442,0.0814904,0.0435773,0.0545987,0.339728,0.339286,0.875707,0.931712,0.0,0.00641804,0.000868172,0.0199793,0.000804293,0.0199793,2.68075e-07
30,train,2,1,True,True,0.126305,0.121211,0.00509451,0.131478,0.137633,0.0120642,0.0119641,0.121204,0.126298,True,0.096775025,0.1014,0.0690097,0.150532,0.0421612,0.0842031,0.0846042,0.121204,0.121086,0.341635,0.34165,0.877429,0.929092,0.0,0.00558756,0.000493046,0.00646364,0.00106792,0.00646364,2.68074e-07
31,train,3,0,True,True,0.122842,0.128268,-0.00542601,0.135544,0.141403,0.00829897,0.00828084,0.122835,0.128261,False,0.0914563,0.1776,0.0625996,0.0967068,0.0976893,0.0551275,0.112823,0.0751171,0.0539871,0.339987,0.340001,0.877851,0.928554,0.0,-0.0048013,0.000624716,0.0175147,0.000978973,0.0175147,2.68074e-07
32,train,0,0,True,True,0.119702,0.124574,-0.0048717,0.134836,0.140049,0.00796178,0.00801546,0.119696,0.124567,False,0.09056482500000002,0.0587674,0.194419,0.0493408,0.0992311,0.0478376,0.0691806,0.111591,0.0941511,0.339368,0.339426,0.876706,0.930091,0.0,-0.00418954,0.000682159,0.0239936,0.00115122,0.0239936,2.68074e-07
33,train,1,1,True,True,0.125137,0.119683,0.00545398,0.139828,0.148578,0.0289126,0.0290655,0.119676,0.12513,True,0.07119371249999999,0.0629188,0.129428,-3.35865e-26,0.186795,0.0107437,0.0814894,0.0435769,0.0545979,0.339753,0.339257,0.874683,0.933257,0.0,0.00638399,0.000930012,0.0196652,0.000773462,0.0196652,2.68074e-07
34,train,2,1,True,True,0.124783,0.119896,0.00488685,0.129902,0.13584,0.0120954,0.0119915,0.11989,0.124776,True,0.0967743375,0.101399,0.0690089,0.150531,0.0421605,0.0842026,0.0846037,0.121203,0.121086,0.341657,0.34168,0.876851,0.929884,0.0,0.00536091,0.000474057,0.00640678,0.00103643,0.00640678,2.68073e-07
35,train,3,0,True,True,0.121633,0.126788,-0.00515457,0.13432,0.139727,0.00830803,0.00831942,0.121626,0.126781,False,0.09145568750000001,0.1776,0.0625987,0.0967062,0.0976886,0.055127,0.112822,0.0751167,0.0539863,0.339979,0.340015,0.877625,0.928823,0.0,-0.00465194,0.000502636,0.0172841,0.00094079,0.0172841,2.68073e-07
36,final_eval,0,0,False,False,0.118567,0.123136,-0.00456956,0.133871,0.138537,0.007964,0.00806555,0.11856,0.123129,False,0.0905641375,0.0587667,0.194418,0.0493401,0.0992301,0.0478371,0.0691798,0.111591,0.0941503,0.339307,0.339403,1.15281,1.15287,,,,,,,
37,final_eval,1,1,False,False,0.123755,0.117476,0.00627863,0.138442,0.148099,0.0289066,0.0291698,0.11747,0.123748,True,0.0711930625,0.0629181,0.129427,-3.35067e-26,0.186794,0.0107432,0.0814884,0.0435766,0.0545972,0.339771,0.339165,1.14292,1.14293,,,,,,,
38,final_eval,2,1,False,False,0.124824,0.119996,0.00482782,0.129041,0.13506,0.0121119,0.0120011,0.119989,0.124817,True,0.0967737875,0.101399,0.0690081,0.15053,0.0421598,0.0842022,0.0846032,0.121203,0.121085,0.341625,0.341648,1.13969,1.13969,,,,,,,
39,final_eval,3,0,False,False,0.12083,0.125504,-0.00467388,0.134387,0.139018,0.00829763,0.00834198,0.120824,0.125497,False,0.09145522499999999,0.1776,0.0625979,0.0967056,0.0976879,0.0551266,0.112822,0.0751162,0.0539856,0.339915,0.339991,1.1397,1.13969,,,,,,,
