theta_p,act,read_p_gain,read_p_slope,write_p_charge_v,write_p_discharge_v,theta_n,read_n_gain,read_n_slope,write_n_charge_v,write_n_discharge_v,write_mode,signed_read_gain,signed_increase_mobility,signed_decrease_mobility,signed_update_sign_aligned,signed_mobility_balance
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,0.8296164152,0.00024886994620202426,0.0010501493988242416,True,0.236985277028832
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-0.36993200000000015,0.004549230243292897,0.0010501493988242416,True,0.2308411187524564
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-0.36993200000000015,-7.374145738481275e-19,0.0010501493988242416,False,-7.021996819440593e-16
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-0.36993200000000015,-1.1268563859800907e-18,0.0010501493988242416,False,-1.0730438804628474e-15
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-0.36993200000000015,0.0,0.0010501493988242416,False,0.0
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-0.36993200000000015,0.0,0.0010501493988242416,False,0.0
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-0.36993200000000015,0.0,0.0010501493988242416,False,0.0
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-0.36993200000000015,0.0,0.0010501493988242416,False,0.0
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-0.36993200000000015,-1.7380719086190767e-18,0.0010501493988242416,False,-1.6550710885184911e-15
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-0.36993200000000015,1.7427193022001574e-18,0.0010501493988242416,True,1.6594965479686264e-15
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-0.36993200000000015,0.0,0.0010501493988242416,False,0.0
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.8537524152,0.0,8.261903650000011e-05,False,0.0
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,0.8537524152,0.00024886994620202426,8.261903650000011e-05,True,0.3319767523593739
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-0.3457960000000001,0.004549230243292897,8.261903650000011e-05,True,0.018161102446245386
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-0.3457960000000001,-7.374145738481275e-19,8.261903650000011e-05,False,-8.925480193031861e-15
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-0.3457960000000001,-1.1268563859800907e-18,8.261903650000011e-05,False,-1.363918575811628e-14
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-0.3457960000000001,0.0,8.261903650000011e-05,False,0.0
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-0.3457960000000001,0.0,8.261903650000011e-05,False,0.0
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-0.3457960000000001,0.0,8.261903650000011e-05,False,0.0
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-0.3457960000000001,0.0,8.261903650000011e-05,False,0.0
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-0.3457960000000001,-1.7380719086190767e-18,8.261903650000011e-05,False,-2.103718443411131e-14
0.46,0.25,0.854132,0.0251416666666667,0.0,0.00328614,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-0.3457960000000001,1.7427193022001574e-18,8.261903650000011e-05,True,2.109343531499735e-14
