cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
32,train,0,0,True,True,0.010428,0.0113061,-0.000878081,0.041382,0.0422899,0.0413865,0.0422946,0.0104956,0.011374,False,0.0972133,0.010428,0.0113061,-0.000878081,False,0.01049,0.0113684,-0.000878422,False,0.0105411,0.0114198,-0.000878686,False,0.010556,0.0114343,-0.000878372,False,0.0550358,0.194277,0.0457225,0.0938179,1.03545,1.00842,1.16469e-09,1.2,1.04533
33,train,1,1,True,True,0.010262,0.00915405,0.00110799,0.0401146,0.0412608,0.0401255,0.0412719,0.0092324,0.010341,True,0.0929141,0.010262,0.00915405,0.00110799,True,0.0103345,0.00922596,0.00110856,True,0.0103942,0.00928521,0.001109,True,0.0104132,0.00930558,0.00110765,True,0.0590734,0.126274,-1.55782e-26,0.186309,1.06958,1.03864,1.16469e-09,1.2,0.0396948
34,train,2,1,True,True,0.00267282,0.00209507,0.000577749,0.0326996,0.0332896,0.0327059,0.0332949,0.00214699,0.00272347,True,0.08724437500000001,0.00267282,0.00209507,0.000577749,True,0.00271924,0.00214265,0.00057659,True,0.00275868,0.00218311,0.000575565,True,0.00277053,0.00219554,0.000574997,True,0.0997829,0.0643679,0.147323,0.0375037,1.19056,1.18601,1.16471e-09,1.2,0.0129083
35,train,3,0,True,True,0.00558548,0.00662522,-0.00103974,0.0363858,0.0374597,0.0363933,0.037467,0.00565373,0.00669359,False,0.107418325,0.00558548,0.00662522,-0.00103974,False,0.00564811,0.00668796,-0.00103985,False,0.00570006,0.00673996,-0.0010399,False,0.00571517,0.00675466,-0.00103949,False,0.184557,0.0571414,0.0935865,0.0943884,1.14826,1.12942,1.2,1.1647e-09,0.0238451
36,train,0,0,True,True,0.0102364,0.0114304,-0.00119395,0.0411854,0.0424181,0.0411901,0.0424227,0.0103042,0.0114983,False,0.096979675,0.0102364,0.0114304,-0.00119395,False,0.0102987,0.0114927,-0.00119404,False,0.0103499,0.011544,-0.0011941,False,0.0103649,0.0115585,-0.00119362,False,0.0547744,0.194254,0.0454593,0.093431,1.04106,1.00444,1.16469e-09,1.2,1.04533
37,train,1,1,True,True,0.0103355,0.0089565,0.00137897,0.0399113,0.0413366,0.0399223,0.0413477,0.00903498,0.0104144,True,0.0927875,0.0103355,0.0089565,0.00137897,True,0.0104079,0.00902853,0.00137941,True,0.0104676,0.00908789,0.00137975,True,0.0104866,0.00910851,0.00137805,True,0.058819,0.126047,-1.58804e-26,0.186284,1.07475,1.03648,1.16469e-09,1.2,0.0396948
38,train,2,1,True,True,0.00274364,0.00185886,0.000884777,0.032451,0.033363,0.0324575,0.0333682,0.00190992,0.00279433,True,0.08700224999999999,0.00274364,0.00185886,0.000884777,True,0.0027901,0.00190565,0.000884451,True,0.00282956,0.00194552,0.000884035,True,0.00284137,0.00195788,0.000883496,True,0.099647,0.0640599,0.147106,0.0371961,1.1922,1.18538,1.2,1.16471e-09,1.04533
39,train,3,0,True,True,0.00623895,0.00646014,-0.000221189,0.0370573,0.0372916,0.0370644,0.037299,0.00630655,0.006529,False,0.10724687499999999,0.00623895,0.00646014,-0.000221189,False,0.00630098,0.00652333,-0.000222347,False,0.00635243,0.00657568,-0.000223252,False,0.0063672,0.00659058,-0.000223387,False,0.185386,0.0564658,0.0931567,0.093979,1.13678,1.13256,1.1647e-09,1.2,1.04533
40,train,0,0,True,True,0.0106336,0.0113627,-0.000729134,0.0415929,0.042348,0.0415973,0.0423526,0.0107009,0.0114306,False,0.0963198,0.0106336,0.0113627,-0.000729134,False,0.0106953,0.011425,-0.000729645,False,0.0107462,0.0114762,-0.000730047,False,0.0107611,0.0114909,-0.000729811,False,0.0540465,0.194154,0.0447169,0.0923618,1.0293,1.00658,1.16469e-09,1.2,1.04533
41,train,1,1,True,True,0.0101877,0.00928634,0.000901362,0.0402504,0.0411841,0.0402612,0.0411952,0.00936452,0.0102667,True,0.09245735,0.0101877,0.00928634,0.000901362,True,0.0102602,0.0093581,0.000902084,True,0.0103199,0.00941722,0.000902653,True,0.010339,0.00943751,0.000901527,True,0.0581454,0.125461,-1.51223e-26,0.186223,1.06606,1.04079,1.2,1.16469e-09,1.04533
