image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,78,0.8695,1739,21.398417416999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,79,0.8725,1745,21.684708375,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,80,0.871,1742,21.965188375,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,81,0.8695,1739,22.244498,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,82,0.871,1742,22.533756999999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,83,0.87,1740,22.827225083,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,84,0.8695,1739,23.107351417,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,85,0.87,1740,23.373447624999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,86,0.872,1744,23.663476541999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,87,0.873,1746,23.929231833,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,88,0.868,1736,24.196340125,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,89,0.873,1746,24.460996249999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,90,0.871,1742,24.751600874999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,91,0.8675,1735,25.039956916999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,92,0.8715,1743,25.306035041999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,93,0.874,1748,25.592529457999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,94,0.8705,1741,25.876949874999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
