cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
72,final_eval,8,0,False,False,0.168985,0.122441,0.0465441,0.204595,0.156679,0.070756,0.0214928,0.168987,0.122444,True,0.58055225,0.168985,0.122441,0.0465441,True,0.532436,0.498079,0.650461,0.641233,0.00953805,0.334829,1.13955,1.13984,,,,,,,,,
73,final_eval,9,0,False,False,0.168968,0.124947,0.044021,0.204576,0.159264,0.0707519,0.021472,0.168969,0.12495,True,0.63268375,0.168968,0.124947,0.044021,True,0.483452,0.71122,0.770219,0.565844,0.00953928,0.334749,1.13959,1.13968,,,,,,,,,
74,final_eval,10,0,False,False,0.168949,0.128343,0.0406062,0.204557,0.162765,0.0518653,0.0262577,0.168951,0.128346,True,0.43758925,0.168949,0.128343,0.0406062,True,0.4312,0.376196,0.445481,0.49748,0.106127,0.332332,1.13959,1.13966,,,,,,,,,
75,final_eval,11,0,False,False,0.169022,0.117597,0.0514253,0.204632,0.151658,0.0707697,0.0215293,0.169024,0.117598,True,0.58109,0.169022,0.117597,0.0514253,True,0.668545,0.46683,0.481908,0.707077,0.00953391,0.334986,1.13959,1.13982,,,,,,,,,
76,final_eval,12,0,False,False,0.169036,0.116297,0.0527388,0.204647,0.150287,0.045846,0.0385253,0.169038,0.116298,True,0.71811975,0.169036,0.116297,0.0527388,True,0.72051,0.728817,0.652934,0.770218,0.20986,0.296433,1.13959,1.13973,,,,,,,,,
77,final_eval,13,0,False,False,0.168966,0.12386,0.045105,0.204574,0.158144,0.0518797,0.0263444,0.168967,0.123863,True,0.5017512500000001,0.168966,0.12386,0.045105,True,0.503241,0.525332,0.48996,0.488472,0.105848,0.332477,1.13959,1.13963,,,,,,,,,
78,final_eval,14,0,False,False,0.169047,0.11528,0.0537673,0.204659,0.149152,0.0543201,0.027021,0.169049,0.115278,True,0.7427902500000001,0.169047,0.11528,0.0537673,True,0.77022,0.660504,0.770217,0.77022,0.0570029,0.333521,1.13959,1.1398,,,,,,,,,
79,final_eval,15,0,False,False,0.169019,0.117162,0.0518562,0.204629,0.151203,0.0707726,0.0215334,0.16902,0.117164,True,0.6019215,0.169019,0.117162,0.0518562,True,0.684605,0.467712,0.570865,0.684504,0.00953303,0.335001,1.13959,1.1397,,,,,,,,,
80,final_eval,16,1,False,False,0.215051,0.152778,0.0622734,0.187921,0.251958,0.0374645,0.0213489,0.152781,0.21505,True,0.2865836,0.215051,0.152778,0.0622734,True,0.0999604,0.412792,0.449507,0.184075,0.302373,0.331053,1.13978,1.13857,,,,,,,,,
81,final_eval,17,1,False,False,0.217698,0.152776,0.0649214,0.187919,0.254678,0.037465,0.0217128,0.152779,0.217696,True,0.426979525,0.217698,0.152776,0.0649214,True,0.0912421,0.667252,0.734518,0.214906,0.30237,0.330648,1.13963,1.13945,,,,,,,,,
82,final_eval,18,1,False,False,0.220758,0.152775,0.0679838,0.187918,0.257823,0.0374338,0.022624,0.152777,0.220757,True,0.30445275,0.220758,0.152775,0.0679838,True,0.08,0.474305,0.468278,0.195228,0.302591,0.3301,1.13963,1.13944,,,,,,,,,
83,final_eval,19,1,False,False,0.185783,0.152773,0.0330101,0.187916,0.221869,0.040089,0.020749,0.152775,0.185783,True,0.2167635,0.185783,0.152773,0.0330101,True,0.175672,0.226022,0.238658,0.226702,0.280431,0.333742,1.13963,1.13986,,,,,,,,,
84,final_eval,20,1,False,False,0.143792,0.158784,-0.0149915,0.1941,0.178672,0.0619093,0.0217178,0.158786,0.143795,False,0.26045225,0.143792,0.158784,-0.0149915,False,0.299048,0.163159,0.184964,0.394638,0.0136286,0.335044,1.13956,1.13993,,,,,,,,,
85,final_eval,21,1,False,False,0.21764,0.152769,0.0648712,0.187912,0.254619,0.0374669,0.0217023,0.152772,0.217639,True,0.31174452500000005,0.21764,0.152769,0.0648712,True,0.0914141,0.50706,0.535796,0.112708,0.302356,0.330659,1.13969,1.13879,,,,,,,,,
86,final_eval,22,1,False,False,0.186863,0.152767,0.0340959,0.18791,0.22298,0.039753,0.0206889,0.15277,0.186864,True,0.22886525000000002,0.186863,0.152767,0.0340959,True,0.173149,0.240816,0.156831,0.344665,0.283591,0.333602,1.13963,1.13982,,,,,,,,,
87,final_eval,23,1,False,False,0.151266,0.155092,-0.00382577,0.190302,0.186364,0.0561662,0.021665,0.155094,0.151268,False,0.23050825000000003,0.151266,0.155092,-0.00382577,False,0.264519,0.145354,0.235699,0.276461,0.0234226,0.335008,1.13961,1.13993,,,,,,,,,
88,final_eval,24,1,False,False,0.214397,0.152764,0.0616329,0.187906,0.251285,0.0374683,0.0212439,0.152766,0.214396,True,0.37532475000000004,0.214397,0.152764,0.0616329,True,0.101968,0.636781,0.649199,0.113351,0.302346,0.331157,1.13966,1.1389,,,,,,,,,
89,final_eval,25,1,False,False,0.214999,0.152762,0.0622366,0.187905,0.251904,0.0374688,0.0203156,0.152764,0.214997,True,0.22686699999999999,0.214999,0.152762,0.0622366,True,0.100075,0.331969,0.395424,0.08,0.302343,0.331377,1.13963,1.13948,,,,,,,,,
90,final_eval,26,1,False,False,0.220744,0.15276,0.0679841,0.187903,0.257809,0.0374377,0.0226256,0.152763,0.220743,True,0.31912349999999995,0.220744,0.15276,0.0679841,True,0.08,0.524397,0.534778,0.137319,0.302563,0.330099,1.13963,1.13942,,,,,,,,,
91,final_eval,27,1,False,False,0.1745,0.152758,0.0217417,0.187901,0.210266,0.0443218,0.0180648,0.152761,0.174501,True,0.1551275,0.1745,0.152758,0.0217417,True,0.201368,0.08,0.08,0.259142,0.231783,0.335359,1.13963,1.13993,,,,,,,,,
92,final_eval,28,1,False,False,0.194672,0.152757,0.0419155,0.187899,0.231009,0.0378908,0.020484,0.152759,0.194672,True,0.2961595,0.194672,0.152757,0.0419155,True,0.154622,0.361194,0.214988,0.453834,0.299235,0.333259,1.13963,1.13934,,,,,,,,,
93,final_eval,29,1,False,False,0.214424,0.152755,0.0616694,0.187897,0.251313,0.0374707,0.0212504,0.152757,0.214423,True,0.3406239999999999,0.214424,0.152755,0.0616694,True,0.101853,0.563537,0.583379,0.113727,0.30233,0.331152,1.13963,1.1393,,,,,,,,,
94,final_eval,30,1,False,False,0.220737,0.152753,0.0679842,0.187895,0.257801,0.0374397,0.0221952,0.152755,0.220736,True,0.16665275000000002,0.220737,0.152753,0.0679842,True,0.08,0.214809,0.209604,0.162198,0.302549,0.330465,1.13963,1.13941,,,,,,,,,
95,final_eval,31,1,False,False,0.212766,0.152751,0.0600153,0.187893,0.24961,0.0374716,0.0209957,0.152754,0.212765,True,0.29591825,0.212766,0.152751,0.0600153,True,0.106901,0.507163,0.389555,0.180054,0.302323,0.331435,1.13963,1.13956,,,,,,,,,
