cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
29,initial_eval,29,1,False,False,0.1402,0.14204,-0.00183968,0.176874,0.17498,0.00348906,0.00356907,0.142043,0.140204,False,0.3406239999999999,0.1402,0.14204,-0.00183968,False,0.101853,0.563537,0.583379,0.113727,0.335947,0.335928,1.13925,1.13933,,,,,,,,,
30,initial_eval,30,1,False,False,0.0950292,0.088611,0.00641813,0.121853,0.128466,0.00995168,0.00988547,0.0886161,0.0950339,True,0.16665275000000002,0.0950292,0.088611,0.00641813,True,0.08,0.214809,0.209604,0.162198,0.338311,0.338255,1.13993,1.13993,,,,,,,,,
31,initial_eval,31,1,False,False,0.117575,0.113528,0.00404699,0.147523,0.15169,0.00470232,0.00475393,0.113532,0.117579,True,0.29591825,0.117575,0.113528,0.00404699,True,0.106901,0.507163,0.389555,0.180054,0.336138,0.336145,1.1395,1.13951,,,,,,,,,
32,train,0,0,True,True,0.130203,0.132765,-0.00256143,0.164691,0.167328,0.000231345,0.000166658,0.130208,0.132769,False,0.5246405,0.130203,0.132765,-0.00256143,False,0.531747,0.513496,0.535893,0.517426,0.335591,0.335562,0.564627,1.19999,0.028731,0.119953,0.143497,-0.00256138,5.7724e-08,5.4077e-07,6.54157e-07,6.54157e-07,2.83647e-06
33,train,16,1,True,True,0.112757,0.110781,0.00197598,0.144694,0.146728,0.00428621,0.00427687,0.110785,0.112761,True,0.2865836,0.112757,0.110781,0.00197598,True,0.0999604,0.412792,0.449507,0.184075,0.336095,0.336071,1.2,0.244105,0.0262968,0.364592,0.38268,0.00197584,-1.43671e-07,5.40766e-07,6.54152e-07,6.54152e-07,2.83645e-06
34,train,1,0,True,True,0.135129,0.141393,-0.00626373,0.169762,0.176209,0.000227997,6.62006e-05,0.135133,0.141397,False,0.5838835,0.135129,0.141393,-0.00626373,False,0.699919,0.417568,0.496653,0.721394,0.335623,0.335586,0.471122,1.2,0.0257794,0.107838,0.107838,-0.00626382,-9.31166e-08,5.40761e-07,6.54147e-07,6.54147e-07,2.83644e-06
35,train,17,1,True,True,0.142125,0.152966,-0.0108415,0.188118,0.176961,0.00252195,0.00280139,0.152969,0.142128,False,0.426979525,0.142125,0.152966,-0.0108415,False,0.0912421,0.667252,0.734518,0.214906,0.336069,0.336061,1.2,0.42112,0.0256666,0.119081,0.119081,-0.0108422,-6.35633e-07,5.40757e-07,6.54142e-07,6.54142e-07,2.83643e-06
36,train,2,0,True,True,0.151522,0.146009,0.00551302,0.186659,0.18097,-7.4232e-05,5.26898e-06,0.151526,0.146013,True,0.6402075,0.151522,0.146009,0.00551302,True,0.421678,0.77022,0.770219,0.598713,0.335649,0.335621,1.19999,0.55734,1.04498,0.112322,0.112322,0.0520665,0.0465535,0.117716,0.00240628,0.117716,2.83642e-06
37,train,18,1,True,True,0.0905002,0.11961,-0.0291099,0.153786,0.123801,0.00294862,0.0058439,0.119614,0.0905057,False,0.30445275,0.0905002,0.11961,-0.0291099,False,0.08,0.474305,0.468278,0.195228,0.33594,0.336787,0.000167901,1.2,1.04498,0.63778,0.64816,0.0641661,0.0932761,0.654549,0.0654231,0.654549,2.83641e-06
38,train,3,0,True,True,0.135251,0.120828,0.0144229,0.169887,0.155034,0.000240926,0.00894621,0.135254,0.120832,True,0.71299175,0.135251,0.120828,0.0144229,True,0.69252,0.690144,0.722441,0.746862,0.335656,0.334462,0.170242,1.2,0.0387562,0.0878721,0.0910867,0.0144248,1.91211e-06,2.56072e-06,1.2967e-06,2.56072e-06,2.8364e-06
39,train,19,1,True,True,0.129062,0.0773815,0.0516809,0.11028,0.163513,0.00985414,0.0146933,0.0773873,0.129065,True,0.2167635,0.129062,0.0773815,0.0516809,True,0.175672,0.226022,0.238658,0.226702,0.338011,0.335701,1.2,4.82164e-07,0.00678936,0.13594,0.159151,0.0516828,1.8918e-06,2.5607e-06,1.29669e-06,2.5607e-06,2.83639e-06
40,train,4,0,True,True,0.129813,0.125142,0.0046707,0.164286,0.159478,0.000351542,0.00892104,0.129817,0.125146,True,0.674525,0.129813,0.125142,0.0046707,True,0.516261,0.744649,0.77022,0.66697,0.335636,0.334328,0.202583,1.2,0.029376,0.125371,0.1488,0.00467073,2.97962e-08,2.56068e-06,1.29668e-06,2.56068e-06,2.83638e-06
41,train,20,1,True,True,0.112872,0.0887458,0.0241258,0.121995,0.146843,0.00718812,0.0130974,0.0887514,0.112876,True,0.26045225,0.112872,0.0887458,0.0241258,True,0.299048,0.163159,0.184964,0.394638,0.336846,0.335579,1.2,7.00419e-06,0.00668806,0.363129,0.381254,0.0241255,-3.19336e-07,2.56066e-06,1.29667e-06,2.56066e-06,2.83636e-06
42,train,5,0,True,True,0.109167,0.131408,-0.0222409,0.143032,0.165929,0.00106631,0.00918946,0.109172,0.131411,False,0.438589,0.109167,0.131408,-0.0222409,False,0.350727,0.486348,0.453581,0.4637,0.335561,0.334123,1.2,0.144357,1.04498,0.390618,0.406372,0.141727,0.163968,0.629417,0.0347144,0.629417,2.83635e-06
43,train,21,1,True,True,0.175114,0.242792,-0.0676779,0.280463,0.210898,0.0544274,0.03289,0.24279,0.175115,False,0.31174452500000005,0.175114,0.242792,-0.0676779,False,0.0914141,0.50706,0.535796,0.112708,0.0549002,0.328424,0.142914,1.2,1.04432,0.210107,0.210107,0.0108557,0.0785336,0.506554,0.0102088,0.506554,2.83634e-06
