experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,1.15,0.75,,,,0.0,0.701547,0.701547,1.15,,,,,,,1.1111111111430636e-05,0.935396,0.00415163,4.612922222354877e-08
read_negative,0.05,0.75,,,,0.299982,0.299887,9.49482e-05,0.05,,,,,,,0.0,0.0001265976,-0.00432693,-0.0
read_negative,0.1,0.75,,,,0.299982,0.299887,9.49482e-05,0.1,,,,,,,2.271871604545455,0.0001265976,-0.00294403,-0.006688458159929955
read_negative,0.16,0.75,,,,0.299982,2.28519e-221,0.299982,0.16,,,,,,,2.8560671600000003,0.39997600000000005,-0.00144727,-0.0041335003186532
read_negative,0.24,0.75,,,,0.299982,-4.81537e-295,0.299982,0.24,,,,,,,-2.220446049250313e-16,0.39997600000000005,0.000265154,-5.887601517429175e-20
read_negative,0.34,0.75,,,,0.299982,0.0,0.299982,0.34,,,,,,,-2.220446049250313e-16,0.39997600000000005,0.00194956,-4.32889279977644e-19
read_negative,0.46,0.75,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,0.39997600000000005,0.00328614,0.0
read_negative,0.58,0.75,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,0.39997600000000005,0.00380994,0.0
read_negative,0.7,0.75,,,,0.299982,0.0,0.299982,0.7,,,,,,,0.0,0.39997600000000005,0.00393976,0.0
read_negative,0.82,0.75,,,,0.299982,0.0,0.299982,0.82,,,,,,,0.0,0.39997600000000005,0.00404922,0.0
read_negative,0.94,0.75,,,,0.299982,0.0,0.299982,0.94,,,,,,,-2.220446049250313e-16,0.39997600000000005,0.00412665,-9.163003689138804e-19
read_negative,1.06,0.75,,,,0.299982,0.0,0.299982,1.06,,,,,,,2.220446049250313e-16,0.39997600000000005,0.00415115,9.217404617345437e-19
read_negative,1.15,0.75,,,,0.299982,0.0,0.299982,1.15,,,,,,,0.0,0.39997600000000005,0.00415163,0.0
write_discharge,0.05,,0.65,1.0,0.0008,,,,,0.05,0.0543269,-0.00432693,0.00432693,-0.00432693,0.00432693,,,-0.00432693,
write_discharge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.102944,-0.00294403,0.00294403,-0.00294403,0.00294403,,,-0.00294403,
