cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
15,train,3,0,True,True,0.372391,0.378006,-0.00561475,0.323761,0.282679,0.00117147,0.00448236,0.372371,0.377985,False,0.09047536250000002,0.180201,0.0601285,0.0952971,0.0960735,0.0538483,0.112181,0.0740834,0.0519901,0.334708,0.336017,0.00360555,0.00375985
16,train,0,0,True,True,0.374151,0.367327,0.00682482,0.327416,0.276617,0.0018749,0.00536074,0.374131,0.367306,True,0.08928528749999999,0.0567978,0.19401,0.0474566,0.0963811,0.0465898,0.0667931,0.114248,0.0920059,0.334243,0.33588,0.00359064,0.00366918
17,train,1,1,True,True,0.383899,0.350005,0.0338941,0.295717,0.36298,0.0118693,0.00597809,0.349986,0.383878,True,0.06955593125000001,0.060815,0.127659,-1.61449e-26,0.186111,0.00935165,0.0779787,0.0427175,0.0518146,0.333405,0.330981,0.00350143,0.00372441
18,train,2,1,True,True,0.368668,0.352688,0.0159804,0.261417,0.265256,0.0103411,0.00826409,0.352668,0.368648,True,0.0951358625,0.100364,0.066357,0.14857,0.0395555,0.0830264,0.083147,0.12012,0.119947,0.336782,0.337505,0.00351313,0.00366803
19,train,3,0,True,True,0.365486,0.370941,-0.00545504,0.31739,0.276976,0.00143388,0.00471434,0.365466,0.370921,False,0.09014851250000001,0.181102,0.0592813,0.0947971,0.095524,0.0534138,0.112037,0.0737375,0.0512954,0.33467,0.33595,0.00354042,0.00369237
20,train,0,0,True,True,0.367149,0.360493,0.00665592,0.32071,0.270195,0.00222626,0.00563044,0.367129,0.360474,True,0.0888912125,0.05617,0.193867,0.046846,0.0954613,0.0462189,0.0660355,0.115225,0.091306,0.334203,0.335877,0.00352592,0.00360168
21,train,1,1,True,True,0.376978,0.34333,0.0336477,0.289306,0.356942,0.0124882,0.0071676,0.343311,0.376957,True,0.06906885875,0.0601885,0.127107,-1.59218e-26,0.185927,0.00895587,0.0769327,0.0424521,0.0509877,0.333247,0.330516,0.00344487,0.0036575
22,train,2,1,True,True,0.362513,0.346097,0.0164159,0.255318,0.266005,0.0104452,0.00783251,0.346078,0.362493,True,0.09467606249999999,0.100043,0.0656178,0.148022,0.0388139,0.0827304,0.0827694,0.119805,0.119607,0.336782,0.337242,0.0034488,0.00360392
23,train,3,0,True,True,0.358154,0.3629,-0.00474538,0.311103,0.275162,0.00170984,0.0052157,0.358134,0.36288,False,0.08981660000000001,0.18197,0.0584339,0.0942805,0.0949706,0.0529736,0.111926,0.0733861,0.0505921,0.334629,0.33575,0.00347423,0.00360811
24,train,0,0,True,True,0.360203,0.353707,0.00649624,0.314062,0.263971,0.00259848,0.00599713,0.360183,0.353687,True,0.088495225,0.0555354,0.193703,0.0462214,0.0945323,0.0458526,0.0652741,0.116252,0.090591,0.334162,0.33587,0.003462,0.00353997
25,train,1,1,True,True,0.370082,0.336703,0.0333799,0.282985,0.351007,0.0131367,0.00856561,0.336684,0.370062,True,0.06857638125,0.0595537,0.126531,-1.56939e-26,0.185739,0.00856055,0.0758806,0.0421919,0.0501543,0.333076,0.330044,0.00338535,0.00359162
26,train,2,1,True,True,0.360571,0.342019,0.0185517,0.249328,0.281921,0.010549,0.00590767,0.342,0.360551,True,0.094205725,0.0996957,0.06487,0.147462,0.0380669,0.0824389,0.0823943,0.119472,0.119246,0.336781,0.336342,0.00342464,0.00357868
27,train,3,0,True,True,0.348226,0.351858,-0.00363132,0.30491,0.272815,0.00199613,0.00712274,0.348207,0.351838,False,0.0894767,0.182805,0.0575866,0.0937472,0.0944137,0.0525275,0.111824,0.0730292,0.0498804,0.334585,0.335566,0.00336846,0.003489
28,train,0,0,True,True,0.349674,0.339197,0.0104768,0.307464,0.258224,0.00298664,0.00666393,0.349654,0.339178,True,0.08809825,0.0548938,0.193518,0.0455823,0.0935941,0.0454912,0.0645091,0.117337,0.0898605,0.334121,0.335851,0.00336632,0.00341311
29,train,1,1,True,True,0.363212,0.330129,0.0330828,0.276751,0.345169,0.0463559,0.0509055,0.330111,0.363192,True,0.06807915125,0.0589108,0.125933,-1.5461e-26,0.185549,0.00816581,0.0748222,0.041938,0.0493144,0.202775,0.124481,0.00413589,0.00715715
30,train,2,1,True,True,0.354949,0.329239,0.02571,0.243446,0.280873,0.0106519,0.00666342,0.329221,0.354929,True,0.09372591250000001,0.0993216,0.0641139,0.146892,0.0373183,0.0821522,0.0820223,0.119124,0.118863,0.336781,0.336093,0.00333518,0.00349129
31,train,3,0,True,True,0.345185,0.35019,-0.00500511,0.29882,0.265619,0.00229119,0.00752045,0.345166,0.350171,False,0.08912708750000001,0.183607,0.0567391,0.0931969,0.0938529,0.0520753,0.111719,0.0726664,0.0491601,0.334537,0.335558,0.00334985,0.00349394
