cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
20,train,0,0,True,True,0.126573,0.133478,-0.00690482,0.143378,0.152013,0.00769426,0.0075134,0.126566,0.133471,False,0.08730587499999999,0.0549384,0.19165,0.0455871,0.0938151,0.0446948,0.0650091,0.112609,0.0901435,0.339157,0.339045,0.876893,0.930208,3.63772e-213,-0.00705432,-0.000149497,6.10417e-05,7.37433e-05,7.37433e-05,0.000491024
21,train,1,1,True,True,0.13433,0.127168,0.00716246,0.150567,0.16,0.00766095,0.00742504,0.127161,0.134323,True,0.0675948125,0.0582423,0.125492,-3.06889e-26,0.183571,0.0074774,0.0754318,0.0407559,0.0497881,0.338184,0.338062,0.876732,0.930483,6.00207e-168,0.00733408,0.000171625,6.09829e-05,7.3698e-05,7.3698e-05,0.000491066
22,train,2,1,True,True,0.13574,0.129226,0.00651355,0.143631,0.151272,0.00865388,0.00795854,0.129219,0.135732,True,0.09304611249999999,0.0980864,0.0636158,0.146581,0.0373724,0.081485,0.0813883,0.118169,0.117671,0.342618,0.342503,0.879712,0.926138,5.82233e-155,0.00664061,0.00012706,6.09765e-05,7.36526e-05,7.36526e-05,0.000491106
23,train,3,0,True,True,0.12942,0.13598,-0.00655947,0.145484,0.153289,0.0076363,0.00747717,0.129413,0.135972,False,0.087862725,0.178217,0.0568955,0.0927554,0.0931102,0.0517309,0.109537,0.0719864,0.0486694,0.339554,0.339493,0.87973,0.926121,2.60603e-184,-0.00664841,-8.89434e-05,6.09281e-05,7.36073e-05,7.36073e-05,0.000491146
24,train,0,0,True,True,0.126147,0.133041,-0.00689473,0.143365,0.15199,0.000882662,0.000707477,0.12614,0.133034,False,0.0865158125,0.0540027,0.190939,0.044654,0.0924995,0.0439515,0.064002,0.112935,0.0891428,0.339203,0.338985,0.876577,0.930671,1.16644e-213,-0.00704676,-0.000152034,6.08903e-05,7.35619e-05,7.35619e-05,0.000491185
25,train,1,1,True,True,0.133959,0.126796,0.00716222,0.150635,0.16004,0.00775727,0.00752246,0.126789,0.133951,True,0.06676538750000001,0.0571644,0.124535,-3.0011e-26,0.182848,0.0067393,0.0740562,0.0400942,0.048686,0.338144,0.338025,0.876447,0.930903,5.22091e-243,0.00734063,0.000178412,6.08332e-05,7.35167e-05,7.35167e-05,0.000491223
26,train,2,1,True,True,0.135526,0.129019,0.00650691,0.143866,0.151482,0.0112547,0.0111526,0.129012,0.135519,True,0.0922213,0.0973289,0.0624368,0.145701,0.03631,0.0809084,0.0807123,0.117473,0.1169,0.341073,0.341054,0.879591,0.926302,2.33685e-272,0.00663093,0.000124018,6.08306e-05,7.34714e-05,7.34714e-05,0.000491261
27,train,3,0,True,True,0.12893,0.135472,-0.00654202,0.145432,0.153198,0.00756264,0.00740182,0.128923,0.135465,False,0.0871180875,0.178274,0.0557347,0.0919068,0.0921705,0.051027,0.108924,0.0713397,0.047568,0.339466,0.339408,0.879448,0.926505,1.88929e-170,-0.00663224,-9.02139e-05,6.07846e-05,7.34262e-05,7.34262e-05,0.000491297
28,train,0,0,True,True,0.125724,0.132608,-0.00688398,0.143349,0.151965,0.00763887,0.00745599,0.125717,0.132601,False,0.085719475,0.0530575,0.190204,0.0437034,0.0911753,0.0432087,0.0629909,0.113292,0.088124,0.339022,0.338915,0.876255,0.931136,8.45632e-200,-0.00703807,-0.000154084,6.07489e-05,7.33808e-05,7.33808e-05,0.000491333
29,train,1,1,True,True,0.133593,0.12643,0.00716241,0.150704,0.16008,0.0127836,0.0125311,0.126423,0.133585,True,0.06592920375,0.0560755,0.12356,-2.93222e-26,0.182114,0.00599933,0.0726748,0.0394333,0.0475767,0.33745,0.337199,0.876155,0.931334,3.90303e-153,0.00734857,0.000186167,6.06951e-05,7.33358e-05,7.33358e-05,0.000491369
30,train,2,1,True,True,0.134811,0.1283,0.006511,0.144111,0.151701,0.0111337,0.0110301,0.128293,0.134804,True,0.0913842625,0.0965402,0.0612475,0.14481,0.0352454,0.0803336,0.0800354,0.116759,0.116103,0.340997,0.340979,0.879098,0.926987,1.69231e-182,0.00662186,0.000110864,6.06874e-05,7.32906e-05,7.32906e-05,0.000491403
31,train,3,0,True,True,0.127507,0.134126,-0.00661846,0.145388,0.153117,0.00750029,0.00733815,0.1275,0.134118,False,0.086361175,0.178291,0.0545736,0.0910406,0.0912243,0.0503167,0.108299,0.0706863,0.0464579,0.339379,0.339323,0.878289,0.928149,7.57465e-212,-0.00661608,2.37921e-06,6.06421e-05,7.32455e-05,7.32455e-05,0.000491437
32,train,0,0,True,True,0.125483,0.132349,-0.0068656,0.143328,0.151937,0.00762395,0.00743987,0.125476,0.132341,False,0.08491744999999999,0.0521026,0.189445,0.0427348,0.0898426,0.0424665,0.0619756,0.113686,0.0870865,0.338955,0.338851,0.876102,0.93136,3.39036e-241,-0.00702943,-0.000163827,6.06063e-05,7.32002e-05,7.32002e-05,0.000491471
33,train,1,1,True,True,0.133234,0.126068,0.00716566,0.15077,0.160117,0.00799261,0.00776005,0.126061,0.133226,True,0.06508809375,0.0549757,0.122581,-2.86223e-26,0.181369,0.00525775,0.0712878,0.0387732,0.0464603,0.338068,0.337951,0.875841,0.9318,1.05167e-155,0.00735522,0.000189558,6.05539e-05,7.31551e-05,7.31551e-05,0.000491504
34,train,2,1,True,True,0.13432,0.127722,0.0065978,0.144366,0.15193,0.0110074,0.0109021,0.127715,0.134313,True,0.090534525,0.0957195,0.0600478,0.143906,0.0341787,0.0797606,0.0793576,0.116025,0.115281,0.340919,0.340903,0.878488,0.92786,1.48452e-162,0.00649291,-0.000104891,6.05436e-05,7.31103e-05,7.31103e-05,0.000491536
