cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
54,train,2,1,True,True,0.117631,0.113654,0.00397759,0.123391,0.127712,0.0123527,0.012053,0.113647,0.117625,True,0.096771675,0.101397,0.069005,0.150528,0.0421568,0.0842004,0.0846012,0.121201,0.121084,0.341567,0.341793,0.872541,0.936351,0.0,0.00443743,0.000459841,0.00898295,0.000895759,0.00898295,2.68069e-07
55,train,3,0,True,True,0.116531,0.119985,-0.00345396,0.13216,0.133694,0.00780666,0.00871954,0.116524,0.119978,False,0.09145315,0.177601,0.0625943,0.0967033,0.097685,0.0551246,0.11282,0.0751144,0.0539826,0.339615,0.339937,0.878957,0.9265,0.0,-0.0027831,0.000670858,0.0240872,0.000771753,0.0240872,2.68069e-07
56,train,0,0,True,True,0.116234,0.116542,-0.000307809,0.139242,0.132188,0.00701733,0.00969545,0.116227,0.116535,False,0.090561325,0.0587634,0.194415,0.0493369,0.0992251,0.0478345,0.069176,0.111593,0.0941467,0.338542,0.340579,0.898747,0.903752,0.0,0.00264396,0.00295177,0.0320409,0.000956885,0.0320409,2.68069e-07
57,train,1,1,True,True,0.123614,0.113369,0.0102442,0.136898,0.155726,0.0221244,0.0280818,0.113363,0.123607,True,0.07119013749999999,0.0629145,0.129424,-3.35838e-26,0.186791,0.0107407,0.0814831,0.0435747,0.0545931,0.341315,0.338494,0.847545,1.0087,0.0,0.01527,0.00502576,0.026799,0.000608346,0.026799,2.68069e-07
58,train,2,1,True,True,0.116893,0.113094,0.00379869,0.122326,0.126174,0.0124434,0.012046,0.113088,0.116886,True,0.09677084999999999,0.101396,0.0690041,0.150527,0.0421561,0.0841999,0.0846007,0.1212,0.121083,0.341514,0.341816,0.872494,0.936376,0.0,0.00430603,0.000507338,0.00893327,0.000882869,0.00893327,2.68068e-07
59,train,3,0,True,True,0.115158,0.118306,-0.00314829,0.132062,0.13317,0.00693912,0.00886322,0.115151,0.118299,False,0.0914525375,0.177601,0.0625934,0.0967027,0.0976843,0.0551241,0.112819,0.0751139,0.0539819,0.339513,0.339834,0.878822,0.926586,0.0,-0.00239115,0.000757148,0.0236413,0.00073013,0.0236413,2.68068e-07
60,train,0,0,True,True,0.116983,0.11485,0.00213267,0.143951,0.131765,0.0057191,0.00872243,0.116977,0.114844,True,0.09056077500000001,0.0587627,0.194415,0.0493363,0.0992241,0.047834,0.0691752,0.111593,0.0941459,0.338196,0.340763,0.919202,0.884278,0.0,0.00675494,0.00462228,0.0311406,0.000919887,0.0311406,2.68068e-07
61,train,1,1,True,True,0.126378,0.112191,0.0141872,0.138971,0.159281,0.0213608,0.0285307,0.112185,0.126371,True,0.0711895625,0.0629137,0.129423,-3.3581e-26,0.186791,0.0107402,0.0814821,0.0435743,0.0545922,0.341129,0.337689,0.833356,1.19999,0.0,0.0169523,0.00276514,0.0262662,0.000574933,0.0262662,2.68068e-07
62,train,2,1,True,True,0.115596,0.111951,0.00364447,0.1215,0.12471,0.0126059,0.0119411,0.111945,0.115589,True,0.09677041249999999,0.101396,0.0690033,0.150526,0.0421554,0.0841994,0.0846002,0.1212,0.121083,0.341411,0.341832,0.871198,0.938546,0.0,0.00413866,0.000494184,0.00884387,0.000858863,0.00884387,2.68067e-07
63,train,3,0,True,True,0.114287,0.117247,-0.00296024,0.132343,0.133558,0.00646632,0.00925343,0.114281,0.117241,False,0.091452175,0.177602,0.0625925,0.0967022,0.0976836,0.0551236,0.112819,0.0751134,0.0539811,0.339369,0.339575,0.878707,0.926678,0.0,-0.00209023,0.000870009,0.0233502,0.000703131,0.0233502,2.68067e-07
64,train,0,0,True,True,0.119887,0.113808,0.00607914,0.148115,0.132249,0.00480975,0.00719865,0.11988,0.113801,True,0.09056012500000002,0.058762,0.194414,0.0493357,0.0992231,0.0478335,0.0691745,0.111593,0.0941452,0.337648,0.340317,0.954744,0.863325,0.0,0.00827951,0.00220037,0.0305488,0.000896803,0.0305488,2.68067e-07
65,train,1,1,True,True,0.127504,0.112381,0.0151231,0.13998,0.160481,0.0238167,0.0318092,0.112375,0.127497,True,0.0711888875,0.062913,0.129422,-3.35828e-26,0.18679,0.0107398,0.081481,0.0435739,0.0545914,0.340531,0.334346,0.831916,1.19999,0.0,0.0159487,0.000825674,0.0263115,0.000581808,0.0263115,2.68067e-07
66,train,2,1,True,True,0.114327,0.110835,0.00349235,0.121437,0.123367,0.0132374,0.0119131,0.110829,0.114321,True,0.09676973750000002,0.101396,0.0690025,0.150525,0.0421547,0.084199,0.0845997,0.121199,0.121082,0.34114,0.341827,0.869713,0.941155,0.0,0.00397428,0.000481924,0.00875399,0.000835867,0.00875399,2.68067e-07
67,train,3,0,True,True,0.113547,0.116176,-0.00262916,0.133545,0.132433,0.0069671,0.00985741,0.113541,0.11617,False,0.0914515625,0.177602,0.0625916,0.0967016,0.0976829,0.0551231,0.112818,0.075113,0.0539803,0.339107,0.339654,0.879614,0.925309,0.0,-0.00160398,0.00102518,0.0230493,0.000675133,0.0230493,2.68066e-07
68,train,0,0,True,True,0.121164,0.113557,0.00760653,0.149219,0.131285,0.00598845,0.00749987,0.121157,0.113551,True,0.0905595875,0.0587614,0.194414,0.049335,0.0992221,0.0478329,0.0691738,0.111593,0.0941445,0.337366,0.340232,0.970602,0.856824,0.0,0.00883641,0.00122988,0.0303805,0.000889707,0.0303805,2.68066e-07
69,train,1,1,True,True,0.126689,0.111858,0.0148318,0.138877,0.159537,0.02418,0.0326508,0.111851,0.126682,True,0.07118845000000001,0.0629123,0.129422,-3.35824e-26,0.18679,0.0107392,0.08148,0.0435735,0.0545906,0.340491,0.332238,0.830813,1.19999,0.0,0.0156549,0.0008231,0.0260593,0.000567894,0.0260593,2.68066e-07
70,train,2,1,True,True,0.112461,0.109135,0.00332612,0.120573,0.121922,0.0133887,0.0118747,0.109129,0.112455,True,0.09676931250000002,0.101395,0.0690018,0.150525,0.0421539,0.0841986,0.0845992,0.121199,0.121082,0.341064,0.341855,0.86638,0.947519,0.0,0.00369016,0.000364031,0.00861965,0.000802758,0.00861965,2.68066e-07
71,train,3,0,True,True,0.113608,0.115518,-0.00190999,0.134754,0.131017,0.0070019,0.0101629,0.113602,0.115511,False,0.09145108750000001,0.177602,0.0625908,0.096701,0.0976822,0.0551226,0.112818,0.0751125,0.0539796,0.338916,0.339946,0.884401,0.918951,0.0,-0.000494443,0.00141555,0.0228464,0.000657692,0.0228464,2.68066e-07
72,train,0,0,True,True,0.119813,0.111512,0.00830055,0.14815,0.129935,0.00622472,0.00753111,0.119806,0.111506,True,0.09055902499999999,0.0587607,0.194413,0.0493344,0.0992211,0.0478324,0.0691729,0.111594,0.0941437,0.337349,0.340248,0.998822,0.84861,0.0,0.00826547,-3.50818e-05,0.0291815,0.000847976,0.0291815,2.68065e-07
73,train,1,1,True,True,0.125386,0.110748,0.0146382,0.137721,0.158157,0.0244021,0.0327489,0.110742,0.125379,True,0.07118777500000001,0.0629116,0.129421,-3.35818e-26,0.186789,0.0107387,0.081479,0.0435731,0.0545898,0.340482,0.331994,0.827233,1.2,0.0,0.0155091,0.000870897,0.0254999,0.000537391,0.0254999,2.68065e-07
74,train,2,1,True,True,0.111234,0.108069,0.0031645,0.119817,0.120513,0.0134531,0.0117852,0.108063,0.111228,True,0.096768625,0.101395,0.069001,0.150524,0.0421532,0.0841981,0.0845987,0.121198,0.121081,0.340975,0.341889,0.864122,0.952167,0.0,0.00352509,0.000360591,0.00852785,0.000781913,0.00852785,2.68065e-07
75,train,3,0,True,True,0.113439,0.114326,-0.000887116,0.137348,0.129635,0.00685581,0.0103161,0.113432,0.114319,False,0.0914504875,0.177602,0.0625899,0.0967005,0.0976815,0.0551221,0.112817,0.075112,0.0539789,0.338662,0.340355,0.892469,0.909735,0.0,0.00160489,0.00249201,0.0224857,0.000624931,0.0224857,2.68065e-07
76,train,0,0,True,True,0.118686,0.110298,0.00838798,0.147047,0.128623,0.00636306,0.00755874,0.118679,0.110292,True,0.09055848749999998,0.05876,0.194413,0.0493337,0.0992201,0.0478319,0.0691722,0.111594,0.094143,0.33734,0.340264,1.0613,0.844144,0.0,0.00830357,-8.44092e-05,0.0263102,0.000823145,0.0263102,2.68064e-07
