cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
11,train,3,0,0.360575,0.397141,-0.0365657,False,0.09145725,0.177599,0.0626005,0.0967081,0.0976909,0.0551286,0.112824,0.0751182,0.0539887,-0.0167681,0.0197977,0.0573977,5.53197e-07,2.1397e-07
12,train,0,0,0.361397,0.377666,-0.016269,False,0.09056626250000001,0.0587687,0.194422,0.049342,0.099233,0.0478386,0.0691822,0.111591,0.0941526,-0.0165642,-0.000295252,0.0381018,5.53196e-07,3.5757e-07
13,train,1,1,0.376659,0.361623,0.0150368,True,0.07119467499999999,0.06292,0.129429,-2.02617e-26,0.186796,0.0107446,0.081491,0.0435776,0.0545992,0.015038,1.19838e-06,0.0399605,5.53195e-07,5.69379e-07
14,train,2,1,0.383192,0.36726,0.0159318,True,0.0967750875,0.1014,0.0690085,0.150532,0.0421614,0.0842033,0.0846045,0.121204,0.121087,0.0159314,-4.09398e-07,0.0260389,5.53194e-07,6.2916e-07
15,train,3,0,0.380468,0.397408,-0.0169396,False,0.0914561875,0.1776,0.0625981,0.096707,0.0976895,0.0551276,0.112823,0.0751172,0.0539871,-0.0169391,4.91959e-07,0.0247795,5.53193e-07,2.11906e-07
16,train,0,0,0.361395,0.377662,-0.0162675,False,0.09056515000000001,0.0587673,0.194422,0.0493407,0.0992309,0.0478376,0.0691806,0.111591,0.0941511,-0.0165627,-0.000295243,0.0158955,5.53193e-07,3.51918e-07
17,train,1,1,0.376658,0.36162,0.0150383,True,0.07119339999999999,0.0629185,0.129427,-2.02585e-26,0.186795,0.0107436,0.0814888,0.0435768,0.0545975,0.0150395,1.20155e-06,0.0167247,5.53192e-07,5.69369e-07
18,train,2,1,0.383189,0.367257,0.0159318,True,0.09677388749999999,0.101399,0.0690063,0.150531,0.0421599,0.0842024,0.0846035,0.121203,0.121086,0.0159314,-4.09397e-07,0.0106406,5.5319e-07,6.29307e-07
19,train,3,0,0.379125,0.395963,-0.0168377,False,0.091455,0.1776,0.0625957,0.0967058,0.097688,0.0551266,0.112822,0.0751163,0.0539856,-0.0168372,5.10496e-07,0.0101044,5.5319e-07,2.09841e-07
20,train,0,0,0.366699,0.383264,-0.0165648,False,0.0905641125,0.0587659,0.194422,0.0493393,0.0992288,0.0478364,0.069179,0.111592,0.0941495,-0.0165603,4.56239e-06,0.00638548,5.53189e-07,3.46267e-07
21,train,1,1,0.376656,0.361617,0.0150398,True,0.07119215,0.062917,0.129425,-2.02605e-26,0.186794,0.0107426,0.0814867,0.043576,0.0545959,0.015041,1.20473e-06,0.00672792,5.53188e-07,5.6936e-07
22,train,2,1,0.383186,0.367254,0.0159317,True,0.09677256249999999,0.101398,0.0690042,0.150529,0.0421584,0.0842015,0.0846024,0.121202,0.121085,0.0159313,-4.09396e-07,0.00423729,5.53186e-07,6.2915e-07
23,train,3,0,0.378264,0.395034,-0.0167703,False,0.0914539625,0.177601,0.0625934,0.0967047,0.0976865,0.0551256,0.112821,0.0751154,0.0539841,-0.0167698,5.24978e-07,0.00402023,5.53186e-07,2.07777e-07
24,final_eval,0,0,0.366408,0.382955,-0.0165472,False,0.090563,0.0587645,0.194422,0.049338,0.0992267,0.0478354,0.0691774,0.111592,0.094148,,,,,
25,final_eval,1,1,0.376655,0.361614,0.0150414,True,0.07119088750000001,0.0629155,0.129424,-3.32751e-26,0.186792,0.0107416,0.0814846,0.0435752,0.0545942,,,,,
26,final_eval,2,1,0.383183,0.367251,0.0159317,True,0.09677143749999999,0.101397,0.0690026,0.150528,0.0421569,0.0842006,0.0846014,0.121201,0.121084,,,,,
27,final_eval,3,0,0.379965,0.396868,-0.0169023,False,0.09145285,0.177601,0.0625916,0.0967035,0.0976851,0.0551246,0.11282,0.0751144,0.0539826,,,,,
