cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
10,train,1,1,0.138215,0.131135,0.00708019,True,0.0711955625,0.0629211,0.12943,-7.17194e-26,0.186797,0.0107452,0.0814926,0.0435782,0.0546004,0.0078583,0.000778106,0.00351782,5.53198e-07,5.69386e-07
11,train,3,0,0.132464,0.139725,-0.00726114,False,0.0914571875,0.177599,0.0626004,0.0967079,0.0976908,0.0551286,0.112824,0.0751181,0.0539887,-0.00672913,0.00053201,0.003434,5.53197e-07,2.1397e-07
12,train,0,0,0.130753,0.137609,-0.00685537,False,0.0905661875,0.0587686,0.194422,0.049342,0.0992328,0.0478387,0.069182,0.111591,0.0941524,-0.00656809,0.00028728,0.00341908,5.53196e-07,3.5757e-07
13,train,2,1,0.139407,0.133415,0.00599161,True,0.09677521250000001,0.1014,0.0690088,0.150532,0.0421618,0.0842035,0.0846046,0.121204,0.121087,0.00667619,0.00068458,0.00350311,5.53195e-07,6.29161e-07
14,train,1,1,0.139239,0.132169,0.00707013,True,0.07119430000000002,0.0629196,0.129428,-7.17185e-26,0.186796,0.0107442,0.0814904,0.0435774,0.0545988,0.00786306,0.000792929,0.00348837,5.53194e-07,5.69377e-07
15,train,3,0,0.133533,0.140792,-0.00725885,False,0.09145613749999999,0.1776,0.062598,0.0967068,0.0976894,0.0551276,0.112823,0.0751172,0.0539871,-0.00671198,0.000546863,0.00340412,5.53193e-07,2.11905e-07
16,train,0,0,0.131892,0.138846,-0.00695384,False,0.0905650125,0.0587672,0.194422,0.0493406,0.0992307,0.0478375,0.0691803,0.111591,0.0941508,-0.00629327,0.00066057,0.00338913,5.53193e-07,3.51918e-07
17,train,2,1,0.140459,0.134499,0.00596066,True,0.0967740125,0.101399,0.0690067,0.150531,0.0421603,0.0842025,0.0846036,0.121203,0.121086,0.00665957,0.00069891,0.00347358,5.53191e-07,6.29156e-07
18,train,1,1,0.14029,0.133231,0.00705894,True,0.071193175,0.0629182,0.129427,-7.17177e-26,0.186795,0.0107432,0.0814883,0.0435766,0.0545971,0.00786718,0.000808232,0.00345876,5.53191e-07,5.69367e-07
19,train,3,0,0.134632,0.141888,-0.00725579,False,0.0914549625,0.1776,0.0625957,0.0967056,0.0976879,0.0551266,0.112822,0.0751163,0.0539856,-0.00669337,0.00056242,0.00337411,5.5319e-07,2.09841e-07
20,train,0,0,0.132877,0.139704,-0.00682657,False,0.09056410000000001,0.0587659,0.194422,0.0493394,0.0992287,0.0478365,0.0691789,0.111592,0.0941494,-0.00650746,0.000319112,0.00335906,5.53189e-07,3.46267e-07
21,train,2,1,0.141541,0.135613,0.00592783,True,0.0967728125,0.101398,0.0690045,0.15053,0.0421588,0.0842016,0.0846026,0.121202,0.121085,0.0066415,0.000713669,0.0034439,5.53187e-07,6.29152e-07
22,train,1,1,0.14137,0.134324,0.00704653,True,0.07119178749999999,0.0629167,0.129425,-7.17168e-26,0.186793,0.0107422,0.0814862,0.0435758,0.0545954,0.00787056,0.000824031,0.00342901,5.53187e-07,5.69358e-07
23,train,3,0,0.135763,0.143015,-0.00725188,False,0.0914538875,0.177601,0.0625933,0.0967044,0.0976864,0.0551256,0.112821,0.0751153,0.0539841,-0.00667315,0.000578735,0.00334398,5.53186e-07,2.07776e-07
24,final_eval,0,0,0.134094,0.141015,-0.00692119,False,0.09056303750000001,0.0587644,0.194423,0.049338,0.0992265,0.0478354,0.0691772,0.111592,0.0941478,,,,,
25,final_eval,1,1,0.141651,0.134493,0.00715738,True,0.07119086250000001,0.0629155,0.129424,-3.32735e-26,0.186792,0.0107416,0.0814845,0.0435752,0.0545941,,,,,
26,final_eval,2,1,0.142673,0.136209,0.00646405,True,0.0967714,0.101397,0.0690025,0.150528,0.0421569,0.0842005,0.0846013,0.121201,0.121084,,,,,
27,final_eval,3,0,0.137661,0.144266,-0.00660481,False,0.09145272500000001,0.177601,0.0625914,0.0967032,0.0976849,0.0551245,0.11282,0.0751143,0.0539825,,,,,
