cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
68,train,4,0,True,True,0.076254,0.0452898,0.0309642,0.255046,0.207307,0.251956,0.205904,0.0550297,0.0351967,True,0.6073780000000001,0.076254,0.0452898,0.0309642,True,0.608103,0.769846,0.769846,0.645065,0.08,0.769846,0.446472,0.769846,0.00156287,0.00197548,3.33543e-08,1.2,1.2,0.00094384,1.57181e-13,0.00094384,1.57181e-13,0.00094384,-0.00094384,0.00094384,0.00094384,0.0301376,-0.000826549,0.00188847,5.85755e-07,0.00188847,1.39894e-06,-0.01324821,-0.010069119999999999,-5.76483e-07,-5.85755e-07
69,train,5,0,True,True,0.0760671,0.0438331,0.032234,0.252596,0.203044,0.249497,0.20151,0.0548568,0.0342848,True,0.545476125,0.0760671,0.0438331,0.032234,True,0.769846,0.769843,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00158048,0.0020266,3.33567e-08,1.2,1.2,0.00094384,1.50305e-16,0.00094384,1.50305e-16,0.00094384,-0.00094384,0.00094384,0.00094384,0.0305655,-0.00166847,0.0018764,5.85753e-07,0.0018764,1.39893e-06,-0.01315895,-0.01000367,-5.76481e-07,-5.85753e-07
70,train,6,0,True,True,0.0746983,0.0441497,0.0305486,0.250119,0.203119,0.247012,0.201596,0.0538314,0.0344499,True,0.5985944999999999,0.0746983,0.0441497,0.0305486,True,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00159869,0.00202557,3.33715e-08,1.2,1.2,0.00094384,1.4373e-19,0.00094384,1.4373e-19,0.00094384,-0.00094384,0.00094384,0.00094384,0.028941,-0.00160762,0.00186294,5.8575e-07,0.00186294,1.39893e-06,-0.01307577,-0.0099388,-5.76479e-07,-5.8575e-07
71,train,7,0,True,True,0.0733895,0.0444377,0.0289518,0.247702,0.203128,0.244586,0.201606,0.0528519,0.0345973,True,0.472466125,0.0733895,0.0444377,0.0289518,True,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00161687,0.00202545,3.33869e-08,1.2,1.2,0.00094384,1.3752e-22,0.00094384,1.3752e-22,0.00094384,-0.00094384,0.00094384,0.00094384,0.0273638,-0.00158794,0.00185196,5.85748e-07,0.00185196,1.39892e-06,-0.01298193,-0.009869900000000001,-5.76476e-07,-5.85748e-07
72,train,8,1,True,True,0.047479,0.0617321,-0.0142531,0.225508,0.203472,0.222736,0.202026,0.0446594,0.0362005,False,0.24862142500000003,0.047479,0.0617321,-0.0142531,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00180153,0.00202046,3.35963e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435,0.0337532,0.0480063,0.0708453,5.85746e-07,0.0708453,1.39892e-06,-0.3112185,0.41483919999999996,-5.76474e-07,-5.85746e-07
73,train,9,1,True,True,0.0565066,0.0549209,0.00158566,0.218295,0.220759,0.215822,0.21879,0.0405008,0.0416243,True,0.21884825,0.0565066,0.0549209,0.00158566,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00186911,0.00183948,1.2,3.37489e-08,1.2,0.000179755,0.00094491,-0.000765154,0.00094491,0.000179755,0.000765154,0.000765154,0.00094491,0.0026244,0.00103874,0.00196097,5.85743e-07,0.00196097,1.39891e-06,-0.01184109,-0.012983920000000001,-5.76472e-07,-5.85743e-07
74,train,10,1,True,True,0.0703575,0.0500497,0.0203079,0.216636,0.248194,0.214572,0.245083,0.0378945,0.0508202,True,0.433850625,0.0703575,0.0500497,0.0203079,True,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00188188,0.00161312,1.2,3.34235e-08,1.2,1.71892e-07,0.00094384,-0.000943668,0.00094384,1.71892e-07,0.000943668,0.000943668,0.00094384,0.0198182,-0.000489644,0.00184586,5.85741e-07,0.00184586,1.39891e-06,-0.010810859999999999,-0.01241517,-5.76469e-07,-5.85741e-07
75,train,11,1,True,True,0.0678892,0.0470198,0.0208693,0.206682,0.238956,0.205382,0.23581,0.0360934,0.0488398,True,0.41236612500000003,0.0678892,0.0470198,0.0208693,True,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00198142,0.00168628,1.2,3.34667e-08,1.2,1.64372e-10,0.000944101,-0.0009441,0.000944101,1.64372e-10,0.0009441,0.0009441,0.000944101,0.0199788,-0.000890524,0.00182906,5.85738e-07,0.00182906,1.3989e-06,-0.010731549999999998,-0.01232329,-5.76467e-07,-5.85738e-07
76,train,12,1,True,True,0.0572808,0.0526018,0.00467899,0.213151,0.220412,0.211497,0.218678,0.0391831,0.0420583,True,0.2552052,0.0572808,0.0526018,0.00467899,True,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00191405,0.00184059,1.2,3.37224e-08,1.2,1.57181e-13,0.000944102,-0.000944102,0.000944102,1.57181e-13,0.000944102,0.000944102,0.000944102,0.00509593,0.000416939,0.00181594,5.85736e-07,0.00181594,1.39889e-06,-0.01065457,-0.012228020000000001,-5.76465e-07,-5.85736e-07
77,train,13,1,True,True,0.0699151,0.0451111,0.024804,0.202794,0.241037,0.201468,0.237901,0.0349679,0.0502565,True,0.339744875,0.0699151,0.0451111,0.024804,True,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.0020271,0.0016692,1.2,3.34349e-08,1.2,1.50305e-16,0.000944063,-0.000944063,0.000944063,1.50305e-16,0.000944063,0.000944063,0.000944063,0.0239573,-0.000846664,0.00181513,5.85734e-07,0.00181513,1.39889e-06,-0.010587710000000002,-0.012167,-5.76462e-07,-5.85734e-07
78,train,14,1,True,True,0.0689281,0.0449631,0.023965,0.201734,0.238674,0.2004,0.23553,0.0348587,0.0495367,True,0.31750670000000003,0.0689281,0.0449631,0.023965,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769846,0.26136,0.00203993,0.00168859,1.2,3.34505e-08,1.2,1.4373e-19,0.000944099,-0.000944099,0.000944099,1.4373e-19,0.000944099,0.000944099,0.000944099,0.0230146,-0.000950412,0.00180004,5.85731e-07,0.00180004,1.39888e-06,-0.010513320000000001,-0.012077359999999999,-5.7646e-07,-5.85731e-07
79,train,15,1,True,True,0.0681296,0.0444927,0.0236368,0.199903,0.236307,0.198414,0.233155,0.034533,0.0489633,True,0.258585,0.0681296,0.0444927,0.0236368,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00206425,0.00170846,1.2,3.34637e-08,1.2,1.3752e-22,0.0009441,-0.0009441,0.0009441,1.3752e-22,0.0009441,0.0009441,0.0009441,0.0221083,-0.00152855,0.00178781,5.85729e-07,0.00178781,1.39888e-06,-0.01044374,-0.011996040000000001,-5.76458e-07,-5.85729e-07
80,final_eval,0,0,False,False,0.048045,0.0622238,-0.0141788,0.205343,0.227283,0.203972,0.224215,0.0365863,0.0449378,False,0.41148750000000006,0.048045,0.0622238,-0.0141788,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00199763,0.0017877,1.1974,1.15032,,,,,,,,,,,,,,,,,,,
